Paese;Popolazione
Afghanistan;42947540
Albania;2845955
Algeria;46028848
Andorra;80088
Angola;37382713
Antigua e Barbuda;94298
Arabia Saudita;37278141
Argentina;45953056
Armenia;2967900
Australia;25750198
Austria;8935112
Azerbaigian;10095900
Bahamas;389000
Bahrein;1503091
Bangladesh;174049593
Barbados;287025
Belgio;11550039
Belize;419199
Benin (ex Dahomey);12114193
Bhutan;748931
Bielorussia;9408400
Myanmar (ex Birmania);54821868
Bolivia;11633371
Bosnia-Erzegovina;3332593
Botswana;2374698
Brasile;217185834
Brunei;459500
Bulgaria;6445481
Burkina Faso (ex Alto Volta);21510181
Burundi;12309600
Cambogia;15288489
Camerun;24348251
Canada;38986595
Capo Verde;556857
Ciad;16244513
Cile;20158310
Repubblica Popolare Cinese;1425360912
Cipro;888000
Colombia;52246541
Comore;758316
Repubblica Democratica Popolare di Corea (Corea del Nord);25550000
Repubblica di Corea (Corea del Sud);51757407
Costa d'Avorio;26453542
Costa Rica;5111238
Croazia;4058165
Cuba;11193470
Danimarca;5837213
Dominica;73040
Ecuador;17625048
Egitto;113826647
El Salvador;6819956
Emirati Arabi Uniti;9366829
Eritrea;3546000
Estonia;1328976
Eswatini;1093238
Etiopia;128513977
Figi;889327
Filippine;118443694
Finlandia;5504522
Francia;64835773
Gabon;2176766
Gambia;2335504
Georgia;3716858
Germania;83267945
Ghana;34532935
Giamaica;2734093
Giappone;122875557
Gibuti;976107
Giordania;10829672
Grecia;10724599
Grenada;112519
Guatemala;16858333
Guinea;12559623
Guinea Equatoriale;1454789
Guinea Bissau;1624945
Guyana;744962
Haiti;11743017
Honduras;9304380
India;1436840066
Indonesia;278954935
Repubblica Islamica dell'Iran;89574489
Iraq;46142426
Irlanda;4977400
Islanda;368010
Isole Marshall;41996
Isole Salomone;721455
Israele;9190200
Kazakhstan;19724856
Kenya;55791428
Kirghizistan;6608500
Kiribati;119940
Kosovo;1782115
Kuwait;4464521
Laos;7231210
Lesotho;2007201
Lettonia;1897100
Libano;6825442
Liberia;4568298
Libia;6871287
Liechtenstein;39680
Lituania;2794870
Lussemburgo;656108
Macedonia del Nord;1829954
Madagascar;26251309
Malawi;18449828
Malaysia;34537287
Maldive;383135
Mali;20250833
Malta;514564
Marocco;38073961
Mauritania;4173077
Mauritius;1266000
Messico;129041303
Micronesia;100319
Moldova;2512758
Principato di Monaco;39050
Mongolia;3451402
Montenegro;621873
Mozambico;34497139
Namibia;2504498
Nauru;12796
Nepal;31112928
Nicaragua;6527691
Niger;23196002
Nigeria;227134823
Norvegia;5384576
Nuova Zelanda;5106922
Oman;4445262
Paesi Bassi;17538181
Pakistan;243433741
Palau;18057
Territori dell'Autonomia Palestinese;5101152
Panama;4278500
Papua Nuova Guinea;8935000
Paraguay;7252672
Perù;34561029
Polonia;40511976
Portogallo;10295909
Qatar;2717360
Repubblica democratica del Congo (ex Zaire);104356592
Regno Unito;67878735
Repubblica Ceca;10699142
Repubblica Centrafricana;5633412
Repubblica del Congo;5518092
Repubblica Dominicana;10448499
Romania;19917984
Ruanda;12663116
Federazione Russa;144136788
Sahara Occidentale;597000
Saint Kitts e Nevis;47769
Saint Lucia;178696
Saint Vincent e Grenadine;103698
Samoa;202506
San Marino;33908
São Tomé e Principe;210240
Senegal;16705608
Serbia;6641197
Seychelles;107660
Sierra Leone;8100318
Singapore;5685807
Siria;17500657
Slovacchia;5460136
Slovenia;2111461
Somalia;15993209
Spagna;47490340
Sri Lanka (ex Ceylon);21803000
Stati Uniti d'America;341139019
Sud Africa;60795941
Sudan;48889547
Sud Sudan;13249924
Suriname;590100
Svezia;10373225
Svizzera;8632703
Tagikistan;9313800
Taiwan;23566471
Tanzania;68673802
Thailandia;71854738
Timor Est;1299412
Togo;7706000
Tonga;107773
Trinidad e Tobago;1366725
Tunisia;11708370
Turchia;86096611
Turkmenistan;6431187
Tuvalu;11409
Ucraina;37484588
Uganda;49420116
Ungheria;9769526
Uruguay;3530912
Uzbekistan;35484312
Vanuatu;300019
Venezuela;29187557
Vietnam;99261891
Yemen;34931806
Città del Vaticano;764
Zambia;17885422
Zimbabwe (ex Rhodesia);15473818
