Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;8.8;12.987;21.787;26,28%
Albania;Europa centro orientale;5.438;5.325;10.763;12,98%
Ucraina;Europa centro orientale;942.0;3.192;4.134;4,99%
Macedonia del Nord;Europa centro orientale;1.473;1.469;2.942;3,55%
Polonia;Unione Europea;468.0;1.514;1.982;2,39%
Regno Unito;Unione Europea;585.0;575.0;1.16;1,40%
Kosovo;Europa centro orientale;556.0;523.0;1.079;1,30%
Bulgaria;Unione Europea;277.0;789.0;1.066;1,29%
Federazione Russa;Europa centro orientale;221.0;698.0;919.0;1,11%
Moldova;Europa centro orientale;174.0;388.0;562.0;0,68%
Germania;Unione Europea;155.0;325.0;480.0;0,58%
Francia;Unione Europea;175.0;258.0;433.0;0,52%
Spagna;Unione Europea;133.0;272.0;405.0;0,49%
Lituania;Unione Europea;56.0;343.0;399.0;0,48%
Slovacchia;Unione Europea;23.0;208.0;231.0;0,28%
Bielorussia;Europa centro orientale;37.0;165.0;202.0;0,24%
Grecia;Unione Europea;95.0;84.0;179.0;0,22%
Belgio;Unione Europea;76.0;101.0;177.0;0,21%
Repubblica di Serbia;Europa centro orientale;82.0;79.0;161.0;0,19%
Repubblica Ceca;Unione Europea;24.0;134.0;158.0;0,19%
Paesi Bassi;Unione Europea;69.0;88.0;157.0;0,19%
Ungheria;Unione Europea;27.0;111.0;138.0;0,17%
Turchia;Europa centro orientale;72.0;55.0;127.0;0,15%
Portogallo;Unione Europea;52.0;65.0;117.0;0,14%
Svizzera;Altri paesi europei;40.0;67.0;107.0;0,13%
Lettonia;Unione Europea;18.0;82.0;100.0;0,12%
Croazia;Unione Europea;27.0;55.0;82.0;0,10%
Irlanda;Unione Europea;41.0;36.0;77.0;0,09%
Austria;Unione Europea;24.0;48.0;72.0;0,09%
Bosnia-Erzegovina;Europa centro orientale;26.0;36.0;62.0;0,07%
Estonia;Unione Europea;8.0;32.0;40.0;0,05%
Svezia;Unione Europea;19.0;20.0;39.0;0,05%
Danimarca;Unione Europea;13.0;21.0;34.0;0,04%
Finlandia;Unione Europea;12.0;14.0;26.0;0,03%
Slovenia;Unione Europea;11.0;9.0;20.0;0,02%
Montenegro;Europa centro orientale;4.0;11.0;15.0;0,02%
Norvegia;Altri paesi europei;5.0;9.0;14.0;0,02%
Malta;Unione Europea;6.0;3.0;9.0;0,01%
San Marino;Altri paesi europei;1.0;7.0;8.0;0,01%
Cipro;Unione Europea;3.0;5.0;8.0;0,01%
Lussemburgo;Unione Europea;4.0;2.0;6.0;0,01%
Islanda;Altri paesi europei;1.0;2.0;3.0;0,00%
Marocco;Africa settentrionale;4.351;3.476;7.827;9,44%
Senegal;Africa occidentale;1.983;680.0;2.663;3,21%
Nigeria;Africa occidentale;1.188;785.0;1.973;2,38%
Tunisia;Africa settentrionale;468.0;341.0;809.0;0,98%
Egitto;Africa settentrionale;413.0;77.0;490.0;0,59%
Mali;Africa occidentale;340.0;6.0;346.0;0,42%
Gambia;Africa occidentale;330.0;6.0;336.0;0,41%
Costa d'Avorio;Africa occidentale;196.0;24.0;220.0;0,27%
Algeria;Africa settentrionale;127.0;69.0;196.0;0,24%
Guinea;Africa occidentale;150.0;16.0;166.0;0,20%
Ghana;Africa occidentale;146.0;18.0;164.0;0,20%
Somalia;Africa orientale;104.0;33.0;137.0;0,17%
Camerun;Africa centro meridionale;68.0;31.0;99.0;0,12%
Burkina Faso (ex Alto Volta);Africa occidentale;71.0;11.0;82.0;0,10%
Eritrea;Africa orientale;53.0;26.0;79.0;0,10%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;34.0;26.0;60.0;0,07%
Etiopia;Africa orientale;13.0;40.0;53.0;0,06%
Libia;Africa settentrionale;38.0;13.0;51.0;0,06%
Niger;Africa occidentale;35.0;12.0;47.0;0,06%
Repubblica del Congo;Africa centro meridionale;13.0;31.0;44.0;0,05%
Guinea Bissau;Africa occidentale;35.0;1.0;36.0;0,04%
Madagascar;Africa orientale;15.0;19.0;34.0;0,04%
Togo;Africa occidentale;24.0;10.0;34.0;0,04%
Burundi;Africa orientale;10.0;22.0;32.0;0,04%
Kenya;Africa orientale;13.0;15.0;28.0;0,03%
Capo Verde;Africa occidentale;10.0;17.0;27.0;0,03%
Sierra Leone;Africa occidentale;19.0;6.0;25.0;0,03%
Sud Africa;Africa centro meridionale;13.0;11.0;24.0;0,03%
Angola;Africa centro meridionale;7.0;12.0;19.0;0,02%
Ruanda;Africa orientale;9.0;9.0;18.0;0,02%
Liberia;Africa occidentale;10.0;3.0;13.0;0,02%
Benin (ex Dahomey);Africa occidentale;11.0;0.0;11.0;0,01%
Gabon;Africa centro meridionale;3.0;7.0;10.0;0,01%
Tanzania;Africa orientale;3.0;7.0;10.0;0,01%
Mauritania;Africa occidentale;6.0;3.0;9.0;0,01%
Sudan;Africa settentrionale;8.0;1.0;9.0;0,01%
Mauritius;Africa orientale;3.0;5.0;8.0;0,01%
Uganda;Africa orientale;1.0;6.0;7.0;0,01%
Ciad;Africa centro meridionale;4.0;0.0;4.0;0,00%
Repubblica Centrafricana;Africa centro meridionale;3.0;0.0;3.0;0,00%
Mozambico;Africa orientale;1.0;1.0;2.0;0,00%
Namibia;Africa centro meridionale;1.0;1.0;2.0;0,00%
Seychelles;Africa orientale;0.0;2.0;2.0;0,00%
Botswana;Africa centro meridionale;0.0;1.0;1.0;0,00%
Guinea Equatoriale;Africa centro meridionale;0.0;1.0;1.0;0,00%
Zambia;Africa orientale;0.0;1.0;1.0;0,00%
Repubblica Popolare Cinese;Asia orientale;1.95;1.937;3.887;4,69%
Bangladesh;Asia centro meridionale;1.515;388.0;1.903;2,30%
Pakistan;Asia centro meridionale;1.52;255.0;1.775;2,14%
India;Asia centro meridionale;513.0;377.0;890.0;1,07%
Filippine;Asia orientale;275.0;492.0;767.0;0,93%
Georgia;Asia occidentale;33.0;310.0;343.0;0,41%
Afghanistan;Asia centro meridionale;278.0;57.0;335.0;0,40%
Sri Lanka (ex Ceylon);Asia centro meridionale;88.0;72.0;160.0;0,19%
Repubblica Islamica dell'Iran;Asia occidentale;80.0;77.0;157.0;0,19%
Iraq;Asia occidentale;60.0;24.0;84.0;0,10%
Thailandia;Asia orientale;6.0;70.0;76.0;0,09%
Giappone;Asia orientale;28.0;42.0;70.0;0,08%
Indonesia;Asia orientale;2.0;64.0;66.0;0,08%
Libano;Asia occidentale;39.0;21.0;60.0;0,07%
Israele;Asia occidentale;31.0;26.0;57.0;0,07%
Uzbekistan;Asia centro meridionale;12.0;41.0;53.0;0,06%
Kirghizistan;Asia centro meridionale;7.0;40.0;47.0;0,06%
Kazakhstan;Asia centro meridionale;3.0;43.0;46.0;0,06%
Siria;Asia occidentale;26.0;16.0;42.0;0,05%
Territori dell'Autonomia Palestinese;Asia occidentale;27.0;6.0;33.0;0,04%
Armenia;Asia occidentale;9.0;9.0;18.0;0,02%
Giordania;Asia occidentale;10.0;7.0;17.0;0,02%
Malaysia;Asia orientale;14.0;3.0;17.0;0,02%
Vietnam;Asia orientale;5.0;12.0;17.0;0,02%
Repubblica di Corea (Corea del Sud);Asia orientale;2.0;6.0;8.0;0,01%
Timor Est;Asia orientale;0.0;6.0;6.0;0,01%
Yemen;Asia occidentale;3.0;2.0;5.0;0,01%
Azerbaigian;Asia occidentale;2.0;2.0;4.0;0,00%
Taiwan;Asia orientale;0.0;4.0;4.0;0,00%
Myanmar (ex Birmania);Asia orientale;0.0;3.0;3.0;0,00%
Nepal;Asia centro meridionale;0.0;3.0;3.0;0,00%
Cambogia;Asia orientale;0.0;2.0;2.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;0.0;2.0;2.0;0,00%
Laos;Asia orientale;1.0;1.0;2.0;0,00%
Mongolia;Asia orientale;0.0;2.0;2.0;0,00%
Kuwait;Asia occidentale;1.0;0.0;1.0;0,00%
Qatar;Asia occidentale;1.0;0.0;1.0;0,00%
Singapore;Asia orientale;0.0;1.0;1.0;0,00%
Turkmenistan;Asia centro meridionale;0.0;1.0;1.0;0,00%
Venezuela;America centro meridionale;418.0;718.0;1.136;1,37%
Brasile;America centro meridionale;256.0;605.0;861.0;1,04%
Repubblica Dominicana;America centro meridionale;264.0;449.0;713.0;0,86%
Cuba;America centro meridionale;164.0;509.0;673.0;0,81%
Argentina;America centro meridionale;198.0;256.0;454.0;0,55%
Colombia;America centro meridionale;115.0;201.0;316.0;0,38%
Stati Uniti d'America;America settentrionale;143.0;161.0;304.0;0,37%
Perù;America centro meridionale;109.0;186.0;295.0;0,36%
Ecuador;America centro meridionale;33.0;64.0;97.0;0,12%
Canada;America settentrionale;31.0;52.0;83.0;0,10%
Messico;America centro meridionale;16.0;39.0;55.0;0,07%
Cile;America centro meridionale;15.0;24.0;39.0;0,05%
Bolivia;America centro meridionale;7.0;29.0;36.0;0,04%
Paraguay;America centro meridionale;4.0;20.0;24.0;0,03%
Honduras;America centro meridionale;7.0;12.0;19.0;0,02%
Panama;America centro meridionale;4.0;9.0;13.0;0,02%
Uruguay;America centro meridionale;4.0;9.0;13.0;0,02%
El Salvador;America centro meridionale;7.0;4.0;11.0;0,01%
Costa Rica;America centro meridionale;3.0;7.0;10.0;0,01%
Nicaragua;America centro meridionale;2.0;8.0;10.0;0,01%
Dominica;America centro meridionale;1.0;7.0;8.0;0,01%
Guatemala;America centro meridionale;3.0;3.0;6.0;0,01%
Haiti;America centro meridionale;3.0;1.0;4.0;0,00%
Trinidad e Tobago;America centro meridionale;0.0;3.0;3.0;0,00%
Giamaica;America centro meridionale;1.0;1.0;2.0;0,00%
Belize;America centro meridionale;1.0;0.0;1.0;0,00%
Guyana;America centro meridionale;0.0;1.0;1.0;0,00%
Australia;Oceania;9;25;34;0,04%
Nuova Zelanda;Oceania;4;5;9;0,01%
Papua Nuova Guinea;Oceania;0;3;3;0,00%
Samoa;Oceania;1;1;2;0,00%
Totale Oceania;Totale Oceania;14;34;48;0,06%
Apolidi;Apolidi;6;6;12;0,01%
