Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;2.861;4.351;7.212;29,79%
Albania;Europa centro orientale;1.338;1.276;2.614;10,80%
Ucraina;Europa centro orientale;238.0;735.0;973.0;4,02%
Bulgaria;Unione Europea;98.0;343.0;441.0;1,82%
Polonia;Unione Europea;61.0;267.0;328.0;1,35%
Moldova;Europa centro orientale;21.0;129.0;150.0;0,62%
Federazione Russa;Europa centro orientale;21.0;96.0;117.0;0,48%
Regno Unito;Unione Europea;51.0;57.0;108.0;0,45%
Spagna;Unione Europea;39.0;59.0;98.0;0,40%
Germania;Unione Europea;23.0;68.0;91.0;0,38%
Francia;Unione Europea;37.0;39.0;76.0;0,31%
Macedonia del Nord;Europa centro orientale;24.0;12.0;36.0;0,15%
Grecia;Unione Europea;18.0;13.0;31.0;0,13%
Bielorussia;Europa centro orientale;2.0;28.0;30.0;0,12%
Portogallo;Unione Europea;7.0;16.0;23.0;0,09%
Lituania;Unione Europea;2.0;20.0;22.0;0,09%
Belgio;Unione Europea;10.0;11.0;21.0;0,09%
Slovacchia;Unione Europea;3.0;16.0;19.0;0,08%
Turchia;Europa centro orientale;10.0;8.0;18.0;0,07%
Paesi Bassi;Unione Europea;5.0;11.0;16.0;0,07%
Svizzera;Altri paesi europei;1.0;14.0;15.0;0,06%
Repubblica Ceca;Unione Europea;2.0;12.0;14.0;0,06%
Ungheria;Unione Europea;2.0;11.0;13.0;0,05%
Croazia;Unione Europea;7.0;6.0;13.0;0,05%
Montenegro;Europa centro orientale;8.0;4.0;12.0;0,05%
Svezia;Unione Europea;4.0;7.0;11.0;0,05%
Kosovo;Europa centro orientale;6.0;4.0;10.0;0,04%
Repubblica di Serbia;Europa centro orientale;4.0;5.0;9.0;0,04%
Lettonia;Unione Europea;1.0;7.0;8.0;0,03%
Irlanda;Unione Europea;6.0;1.0;7.0;0,03%
Bosnia-Erzegovina;Europa centro orientale;4.0;1.0;5.0;0,02%
Austria;Unione Europea;4.0;0.0;4.0;0,02%
Finlandia;Unione Europea;1.0;2.0;3.0;0,01%
Estonia;Unione Europea;0.0;2.0;2.0;0,01%
Danimarca;Unione Europea;1.0;0.0;1.0;0,00%
Lussemburgo;Unione Europea;0.0;1.0;1.0;0,00%
Norvegia;Altri paesi europei;1.0;0.0;1.0;0,00%
Slovenia;Unione Europea;1.0;0.0;1.0;0,00%
Cipro;Unione Europea;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;1.036;877.0;1.913;7,90%
Nigeria;Africa occidentale;690.0;364.0;1.054;4,35%
Tunisia;Africa settentrionale;475.0;201.0;676.0;2,79%
Gambia;Africa occidentale;408.0;15.0;423.0;1,75%
Senegal;Africa occidentale;362.0;35.0;397.0;1,64%
Mali;Africa occidentale;313.0;8.0;321.0;1,33%
Costa d'Avorio;Africa occidentale;160.0;36.0;196.0;0,81%
Egitto;Africa settentrionale;129.0;22.0;151.0;0,62%
Ghana;Africa occidentale;133.0;7.0;140.0;0,58%
Burkina Faso (ex Alto Volta);Africa occidentale;122.0;17.0;139.0;0,57%
Algeria;Africa settentrionale;117.0;14.0;131.0;0,54%
Guinea;Africa occidentale;91.0;7.0;98.0;0,40%
Camerun;Africa centro meridionale;48.0;24.0;72.0;0,30%
Somalia;Africa orientale;42.0;21.0;63.0;0,26%
Sudan;Africa settentrionale;46.0;12.0;58.0;0,24%
Eritrea;Africa orientale;30.0;11.0;41.0;0,17%
Sierra Leone;Africa occidentale;28.0;7.0;35.0;0,14%
Niger;Africa occidentale;26.0;4.0;30.0;0,12%
Guinea Bissau;Africa occidentale;28.0;0.0;28.0;0,12%
Burundi;Africa orientale;6.0;18.0;24.0;0,10%
Togo;Africa occidentale;17.0;0.0;17.0;0,07%
Angola;Africa centro meridionale;3.0;13.0;16.0;0,07%
