Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;11.208;15.41;26.618;27,42%
Ucraina;Europa centro orientale;1.587;4.755;6.342;6,53%
Bulgaria;Unione Europea;1.937;3.014;4.951;5,10%
Albania;Europa centro orientale;1.391;1.376;2.767;2,85%
Polonia;Unione Europea;486.0;1.954;2.44;2,51%
Federazione Russa;Europa centro orientale;181.0;839.0;1.02;1,05%
Bielorussia;Europa centro orientale;100.0;570.0;670.0;0,69%
Moldova;Europa centro orientale;141.0;400.0;541.0;0,56%
Germania;Unione Europea;132.0;360.0;492.0;0,51%
Regno Unito;Unione Europea;208.0;230.0;438.0;0,45%
Francia;Unione Europea;140.0;198.0;338.0;0,35%
Spagna;Unione Europea;75.0;162.0;237.0;0,24%
Slovacchia;Unione Europea;44.0;141.0;185.0;0,19%
Lituania;Unione Europea;36.0;133.0;169.0;0,17%
Turchia;Europa centro orientale;88.0;60.0;148.0;0,15%
Repubblica di Serbia;Europa centro orientale;47.0;57.0;104.0;0,11%
Repubblica Ceca;Unione Europea;18.0;73.0;91.0;0,09%
Svizzera;Altri paesi europei;33.0;56.0;89.0;0,09%
Paesi Bassi;Unione Europea;35.0;49.0;84.0;0,09%
Belgio;Unione Europea;23.0;53.0;76.0;0,08%
Ungheria;Unione Europea;11.0;61.0;72.0;0,07%
Croazia;Unione Europea;34.0;34.0;68.0;0,07%
Macedonia del Nord;Europa centro orientale;30.0;38.0;68.0;0,07%
Austria;Unione Europea;14.0;51.0;65.0;0,07%
Portogallo;Unione Europea;21.0;44.0;65.0;0,07%
Grecia;Unione Europea;22.0;34.0;56.0;0,06%
Irlanda;Unione Europea;25.0;24.0;49.0;0,05%
Lettonia;Unione Europea;13.0;32.0;45.0;0,05%
Svezia;Unione Europea;18.0;20.0;38.0;0,04%
Kosovo;Europa centro orientale;26.0;12.0;38.0;0,04%
Estonia;Unione Europea;5.0;26.0;31.0;0,03%
Montenegro;Europa centro orientale;14.0;14.0;28.0;0,03%
Bosnia-Erzegovina;Europa centro orientale;4.0;18.0;22.0;0,02%
Danimarca;Unione Europea;6.0;13.0;19.0;0,02%
Malta;Unione Europea;6.0;10.0;16.0;0,02%
Finlandia;Unione Europea;6.0;9.0;15.0;0,02%
Slovenia;Unione Europea;4.0;4.0;8.0;0,01%
Norvegia;Altri paesi europei;2.0;4.0;6.0;0,01%
Islanda;Altri paesi europei;2.0;2.0;4.0;0,00%
San Marino;Altri paesi europei;0.0;1.0;1.0;0,00%
