Paese; Area ; Maschi ; Femmine ; Totale ; %
Ucraina;Europa centro orientale;10.592;30.622;41.214;16,36%
Romania;Unione Europea;13.711;19.933;33.644;13,35%
Albania;Europa centro orientale;4.543;3.916;8.459;3,36%
Polonia;Unione Europea;1.522;5.338;6.86;2,72%
Bulgaria;Unione Europea;1.918;4.334;6.252;2,48%
Federazione Russa;Europa centro orientale;388.0;2.649;3.037;1,21%
Moldova;Europa centro orientale;411.0;913.0;1.324;0,53%
Regno Unito;Unione Europea;352.0;529.0;881.0;0,35%
Germania;Unione Europea;235.0;615.0;850.0;0,34%
Spagna;Unione Europea;242.0;580.0;822.0;0,33%
Repubblica di Serbia;Europa centro orientale;362.0;424.0;786.0;0,31%
Francia;Unione Europea;229.0;440.0;669.0;0,27%
Bielorussia;Europa centro orientale;98.0;556.0;654.0;0,26%
Bosnia-Erzegovina;Europa centro orientale;295.0;264.0;559.0;0,22%
Macedonia del Nord;Europa centro orientale;149.0;153.0;302.0;0,12%
Portogallo;Unione Europea;90.0;146.0;236.0;0,09%
Grecia;Unione Europea;104.0;128.0;232.0;0,09%
Paesi Bassi;Unione Europea;68.0;104.0;172.0;0,07%
Ungheria;Unione Europea;30.0;140.0;170.0;0,07%
Svizzera;Altri paesi europei;53.0;103.0;156.0;0,06%
Croazia;Unione Europea;66.0;90.0;156.0;0,06%
Lituania;Unione Europea;37.0;106.0;143.0;0,06%
Austria;Unione Europea;30.0;109.0;139.0;0,06%
Slovacchia;Unione Europea;28.0;110.0;138.0;0,05%
Turchia;Europa centro orientale;64.0;70.0;134.0;0,05%
Repubblica Ceca;Unione Europea;23.0;105.0;128.0;0,05%
Kosovo;Europa centro orientale;75.0;53.0;128.0;0,05%
Belgio;Unione Europea;46.0;63.0;109.0;0,04%
Montenegro;Europa centro orientale;47.0;40.0;87.0;0,03%
Lettonia;Unione Europea;15.0;56.0;71.0;0,03%
Irlanda;Unione Europea;32.0;37.0;69.0;0,03%
Svezia;Unione Europea;20.0;45.0;65.0;0,03%
Malta;Unione Europea;15.0;30.0;45.0;0,02%
Danimarca;Unione Europea;16.0;21.0;37.0;0,01%
Finlandia;Unione Europea;7.0;29.0;36.0;0,01%
Estonia;Unione Europea;6.0;20.0;26.0;0,01%
Slovenia;Unione Europea;8.0;16.0;24.0;0,01%
Norvegia;Altri paesi europei;9.0;11.0;20.0;0,01%
Cipro;Unione Europea;3.0;3.0;6.0;0,00%
Lussemburgo;Unione Europea;1.0;3.0;4.0;0,00%
Principato di Monaco;Altri paesi europei;1.0;3.0;4.0;0,00%
Islanda;Altri paesi europei;0.0;3.0;3.0;0,00%
San Marino;Altri paesi europei;2.0;1.0;3.0;0,00%
Liechtenstein;Altri paesi europei;1.0;0.0;1.0;0,00%
Città del Vaticano;Altri paesi europei;1.0;0.0;1.0;0,00%
Sri Lanka (ex Ceylon);Asia centro meridionale;8.812;8.069;16.881;6,70%
Bangladesh;Asia centro meridionale;11.136;2.555;13.691;5,43%
Repubblica Popolare Cinese;Asia orientale;6.345;5.764;12.109;4,81%
India;Asia centro meridionale;5.55;3.078;8.628;3,42%
Pakistan;Asia centro meridionale;6.866;1.247;8.113;3,22%
Filippine;Asia orientale;1.318;2.248;3.566;1,42%
Georgia;Asia occidentale;246.0;1.534;1.78;0,71%
Indonesia;Asia orientale;17.0;589.0;606.0;0,24%
Repubblica Islamica dell'Iran;Asia occidentale;286.0;253.0;539.0;0,21%
Afghanistan;Asia centro meridionale;332.0;146.0;478.0;0,19%
Kirghizistan;Asia centro meridionale;112.0;344.0;456.0;0,18%
Siria;Asia occidentale;129.0;109.0;238.0;0,09%
Thailandia;Asia orientale;28.0;163.0;191.0;0,08%
Giappone;Asia orientale;27.0;106.0;133.0;0,05%
Israele;Asia occidentale;41.0;29.0;70.0;0,03%
Libano;Asia occidentale;38.0;26.0;64.0;0,03%
Kazakhstan;Asia centro meridionale;8.0;56.0;64.0;0,03%
Iraq;Asia occidentale;50.0;13.0;63.0;0,03%
Vietnam;Asia orientale;16.0;41.0;57.0;0,02%
