Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;39.971;55.109;95.08;17,16%
Albania;Europa centro orientale;29.642;27.628;57.27;10,34%
Ucraina;Europa centro orientale;7.596;27.504;35.1;6,34%
Moldova;Europa centro orientale;8.173;16.431;24.604;4,44%
Polonia;Unione Europea;2.051;6.879;8.93;1,61%
Macedonia del Nord;Europa centro orientale;3.014;2.976;5.99;1,08%
Bulgaria;Unione Europea;2.108;2.824;4.932;0,89%
Federazione Russa;Europa centro orientale;768.0;3.484;4.252;0,77%
Turchia;Europa centro orientale;1.862;1.318;3.18;0,57%
Repubblica di Serbia;Europa centro orientale;1.264;1.305;2.569;0,46%
Spagna;Unione Europea;758.0;1.557;2.315;0,42%
Kosovo;Europa centro orientale;1.265;1.023;2.288;0,41%
Francia;Unione Europea;888.0;1.33;2.218;0,40%
Bosnia-Erzegovina;Europa centro orientale;1.018;915.0;1.933;0,35%
Regno Unito;Unione Europea;945.0;971.0;1.916;0,35%
Germania;Unione Europea;632.0;1.114;1.746;0,32%
Croazia;Unione Europea;582.0;569.0;1.151;0,21%
Bielorussia;Europa centro orientale;265.0;823.0;1.088;0,20%
Grecia;Unione Europea;537.0;515.0;1.052;0,19%
San Marino;Altri paesi europei;448.0;288.0;736.0;0,13%
Ungheria;Unione Europea;181.0;525.0;706.0;0,13%
Slovacchia;Unione Europea;141.0;489.0;630.0;0,11%
Portogallo;Unione Europea;292.0;337.0;629.0;0,11%
Lituania;Unione Europea;132.0;421.0;553.0;0,10%
Paesi Bassi;Unione Europea;256.0;293.0;549.0;0,10%
Repubblica Ceca;Unione Europea;90.0;442.0;532.0;0,10%
Belgio;Unione Europea;205.0;262.0;467.0;0,08%
Lettonia;Unione Europea;93.0;333.0;426.0;0,08%
Svizzera;Altri paesi europei;145.0;194.0;339.0;0,06%
Austria;Unione Europea;101.0;222.0;323.0;0,06%
Montenegro;Europa centro orientale;127.0;135.0;262.0;0,05%
Irlanda;Unione Europea;108.0;129.0;237.0;0,04%
Svezia;Unione Europea;69.0;150.0;219.0;0,04%
Danimarca;Unione Europea;51.0;70.0;121.0;0,02%
Finlandia;Unione Europea;20.0;101.0;121.0;0,02%
Estonia;Unione Europea;23.0;87.0;110.0;0,02%
Slovenia;Unione Europea;43.0;57.0;100.0;0,02%
Norvegia;Altri paesi europei;31.0;36.0;67.0;0,01%
Malta;Unione Europea;18.0;24.0;42.0;0,01%
Cipro;Unione Europea;9.0;15.0;24.0;0,00%
Lussemburgo;Unione Europea;7.0;12.0;19.0;0,00%
Islanda;Altri paesi europei;6.0;8.0;14.0;0,00%
Liechtenstein;Altri paesi europei;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;30.834;28.296;59.13;10,67%
Tunisia;Africa settentrionale;12.296;7.886;20.182;3,64%
Nigeria;Africa occidentale;9.417;7.708;17.125;3,09%
Senegal;Africa occidentale;8.638;3.268;11.906;2,15%
Ghana;Africa occidentale;6.57;4.158;10.728;1,94%
Egitto;Africa settentrionale;4.908;2.525;7.433;1,34%
Costa d'Avorio;Africa occidentale;2.321;1.537;3.858;0,70%
Camerun;Africa centro meridionale;1.757;1.699;3.456;0,62%
Burkina Faso (ex Alto Volta);Africa occidentale;1.496;857.0;2.353;0,42%
Algeria;Africa settentrionale;1.122;734.0;1.856;0,33%
Mali;Africa occidentale;1.514;159.0;1.673;0,30%
Gambia;Africa occidentale;1.568;52.0;1.62;0,29%
Guinea;Africa occidentale;1.212;341.0;1.553;0,28%
Etiopia;Africa orientale;348.0;449.0;797.0;0,14%
Somalia;Africa orientale;548.0;201.0;749.0;0,14%
Eritrea;Africa orientale;321.0;381.0;702.0;0,13%
Togo;Africa occidentale;380.0;158.0;538.0;0,10%
Benin (ex Dahomey);Africa occidentale;193.0;112.0;305.0;0,06%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;149.0;143.0;292.0;0,05%
Repubblica del Congo;Africa centro meridionale;149.0;135.0;284.0;0,05%
Capo Verde;Africa occidentale;133.0;148.0;281.0;0,05%
Sudan;Africa settentrionale;184.0;89.0;273.0;0,05%
Mauritius;Africa orientale;95.0;132.0;227.0;0,04%
Tanzania;Africa orientale;85.0;114.0;199.0;0,04%
Sierra Leone;Africa occidentale;128.0;30.0;158.0;0,03%
Guinea Bissau;Africa occidentale;149.0;7.0;156.0;0,03%
Kenya;Africa orientale;66.0;82.0;148.0;0,03%
Libia;Africa settentrionale;107.0;34.0;141.0;0,03%
Angola;Africa centro meridionale;64.0;61.0;125.0;0,02%
Niger;Africa occidentale;100.0;22.0;122.0;0,02%
Liberia;Africa occidentale;100.0;21.0;121.0;0,02%
Madagascar;Africa orientale;31.0;59.0;90.0;0,02%
Gabon;Africa centro meridionale;32.0;46.0;78.0;0,01%
Sud Africa;Africa centro meridionale;24.0;38.0;62.0;0,01%
Burundi;Africa orientale;24.0;18.0;42.0;0,01%
Mozambico;Africa orientale;16.0;26.0;42.0;0,01%
Mauritania;Africa occidentale;33.0;8.0;41.0;0,01%
Ciad;Africa centro meridionale;28.0;10.0;38.0;0,01%
Zimbabwe (ex Rhodesia);Africa orientale;20.0;17.0;37.0;0,01%
Uganda;Africa orientale;15.0;21.0;36.0;0,01%
Ruanda;Africa orientale;13.0;22.0;35.0;0,01%
Zambia;Africa orientale;7.0;10.0;17.0;0,00%
Sud Sudan;Africa settentrionale;12.0;5.0;17.0;0,00%
Seychelles;Africa orientale;5.0;11.0;16.0;0,00%
Repubblica Centrafricana;Africa centro meridionale;9.0;5.0;14.0;0,00%
São Tomé e Principe;Africa centro meridionale;7.0;3.0;10.0;0,00%
Malawi;Africa orientale;3.0;5.0;8.0;0,00%
Guinea Equatoriale;Africa centro meridionale;2.0;3.0;5.0;0,00%
Eswatini;Africa centro meridionale;3.0;2.0;5.0;0,00%
Namibia;Africa centro meridionale;0.0;4.0;4.0;0,00%
Botswana;Africa centro meridionale;0.0;2.0;2.0;0,00%
Gibuti;Africa orientale;0.0;1.0;1.0;0,00%
Lesotho;Africa centro meridionale;0.0;1.0;1.0;0,00%
Repubblica Popolare Cinese;Asia orientale;14.748;14.523;29.271;5,28%
Pakistan;Asia centro meridionale;17.518;8.266;25.784;4,65%
India;Asia centro meridionale;10.169;8.335;18.504;3,34%
Filippine;Asia orientale;6.443;7.829;14.272;2,58%
Bangladesh;Asia centro meridionale;7.985;4.043;12.028;2,17%
Sri Lanka (ex Ceylon);Asia centro meridionale;3.826;3.133;6.959;1,26%
Georgia;Asia occidentale;488.0;2.556;3.044;0,55%
Repubblica Islamica dell'Iran;Asia occidentale;836.0;891.0;1.727;0,31%
Afghanistan;Asia centro meridionale;1.008;315.0;1.323;0,24%
Thailandia;Asia orientale;68.0;526.0;594.0;0,11%
Libano;Asia occidentale;360.0;213.0;573.0;0,10%
Siria;Asia occidentale;283.0;220.0;503.0;0,09%
Giappone;Asia orientale;104.0;385.0;489.0;0,09%
Iraq;Asia occidentale;272.0;78.0;350.0;0,06%
Indonesia;Asia orientale;39.0;232.0;271.0;0,05%
Kazakhstan;Asia centro meridionale;40.0;202.0;242.0;0,04%
Nepal;Asia centro meridionale;143.0;85.0;228.0;0,04%
Giordania;Asia occidentale;130.0;79.0;209.0;0,04%
Israele;Asia occidentale;112.0;86.0;198.0;0,04%
Vietnam;Asia orientale;55.0;130.0;185.0;0,03%
Kirghizistan;Asia centro meridionale;28.0;133.0;161.0;0,03%
Uzbekistan;Asia centro meridionale;33.0;87.0;120.0;0,02%
Repubblica di Corea (Corea del Sud);Asia orientale;43.0;70.0;113.0;0,02%
Territori dell'Autonomia Palestinese;Asia occidentale;72.0;36.0;108.0;0,02%
Armenia;Asia occidentale;51.0;57.0;108.0;0,02%
Azerbaigian;Asia occidentale;41.0;44.0;85.0;0,02%
Taiwan;Asia orientale;8.0;32.0;40.0;0,01%
Yemen;Asia occidentale;21.0;16.0;37.0;0,01%
Malaysia;Asia orientale;16.0;18.0;34.0;0,01%
Mongolia;Asia orientale;2.0;16.0;18.0;0,00%
Singapore;Asia orientale;2.0;12.0;14.0;0,00%
Arabia Saudita;Asia occidentale;5.0;5.0;10.0;0,00%
Tagikistan;Asia centro meridionale;3.0;7.0;10.0;0,00%
Myanmar (ex Birmania);Asia orientale;5.0;4.0;9.0;0,00%
Laos;Asia orientale;6.0;3.0;9.0;0,00%
Cambogia;Asia orientale;0.0;8.0;8.0;0,00%
Turkmenistan;Asia centro meridionale;1.0;6.0;7.0;0,00%
Timor Est;Asia orientale;0.0;5.0;5.0;0,00%
Bhutan;Asia centro meridionale;2.0;0.0;2.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;1.0;1.0;2.0;0,00%
Kuwait;Asia occidentale;1.0;1.0;2.0;0,00%
Bahrein;Asia occidentale;1.0;0.0;1.0;0,00%
Emirati Arabi Uniti;Asia occidentale;1.0;0.0;1.0;0,00%
Maldive;Asia centro meridionale;1.0;0.0;1.0;0,00%
Perù;America centro meridionale;1.667;2.384;4.051;0,73%
Brasile;America centro meridionale;1.124;2.82;3.944;0,71%
Ecuador;America centro meridionale;1.314;1.758;3.072;0,55%
Cuba;America centro meridionale;783.0;1.697;2.48;0,45%
