Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;11.257;14.298;25.555;21,97%
Albania;Europa centro orientale;4.799;4.783;9.582;8,24%
Ucraina;Europa centro orientale;1.457;4.883;6.34;5,45%
Repubblica di Serbia;Europa centro orientale;2.781;2.889;5.67;4,87%
Kosovo;Europa centro orientale;2.189;1.613;3.802;3,27%
Croazia;Unione Europea;2.002;1.496;3.498;3,01%
Bosnia-Erzegovina;Europa centro orientale;1.511;1.275;2.786;2,39%
Macedonia del Nord;Europa centro orientale;1.412;1.243;2.655;2,28%
Slovenia;Unione Europea;1.098;907.0;2.005;1,72%
Moldova;Europa centro orientale;580.0;1.258;1.838;1,58%
Polonia;Unione Europea;359.0;936.0;1.295;1,11%
Federazione Russa;Europa centro orientale;199.0;694.0;893.0;0,77%
Bulgaria;Unione Europea;237.0;619.0;856.0;0,74%
Germania;Unione Europea;283.0;410.0;693.0;0,60%
Francia;Unione Europea;218.0;326.0;544.0;0,47%
Turchia;Europa centro orientale;307.0;227.0;534.0;0,46%
Spagna;Unione Europea;176.0;327.0;503.0;0,43%
Austria;Unione Europea;140.0;360.0;500.0;0,43%
Ungheria;Unione Europea;140.0;344.0;484.0;0,42%
Regno Unito;Unione Europea;238.0;235.0;473.0;0,41%
Slovacchia;Unione Europea;93.0;197.0;290.0;0,25%
Repubblica Ceca;Unione Europea;34.0;215.0;249.0;0,21%
Grecia;Unione Europea;112.0;110.0;222.0;0,19%
Portogallo;Unione Europea;81.0;90.0;171.0;0,15%
Bielorussia;Europa centro orientale;37.0;129.0;166.0;0,14%
Belgio;Unione Europea;70.0;62.0;132.0;0,11%
Paesi Bassi;Unione Europea;60.0;69.0;129.0;0,11%
Montenegro;Europa centro orientale;54.0;58.0;112.0;0,10%
Lituania;Unione Europea;19.0;68.0;87.0;0,07%
Svizzera;Altri paesi europei;28.0;49.0;77.0;0,07%
Irlanda;Unione Europea;35.0;19.0;54.0;0,05%
Svezia;Unione Europea;20.0;34.0;54.0;0,05%
Finlandia;Unione Europea;22.0;30.0;52.0;0,04%
Lettonia;Unione Europea;11.0;37.0;48.0;0,04%
Estonia;Unione Europea;3.0;26.0;29.0;0,02%
Danimarca;Unione Europea;14.0;13.0;27.0;0,02%
Norvegia;Altri paesi europei;6.0;6.0;12.0;0,01%
Cipro;Unione Europea;3.0;4.0;7.0;0,01%
Lussemburgo;Unione Europea;3.0;3.0;6.0;0,01%
Malta;Unione Europea;1.0;4.0;5.0;0,00%
Andorra;Altri paesi europei;1.0;0.0;1.0;0,00%
Islanda;Altri paesi europei;0.0;1.0;1.0;0,00%
Bangladesh;Asia centro meridionale;4.146;2.715;6.861;5,90%
Pakistan;Asia centro meridionale;3.434;381.0;3.815;3,28%
