Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;89.216;107.367;196.583;31,00%
Ucraina;Europa centro orientale;5.29;18.588;23.878;3,77%
Albania;Europa centro orientale;12.005;11.445;23.45;3,70%
Polonia;Unione Europea;5.107;10.618;15.725;2,48%
Moldova;Europa centro orientale;4.476;7.742;12.218;1,93%
Bulgaria;Unione Europea;2.158;3.884;6.042;0,95%
Spagna;Unione Europea;2.104;3.37;5.474;0,86%
Francia;Unione Europea;1.9;3.005;4.905;0,77%
Macedonia del Nord;Europa centro orientale;2.386;1.64;4.026;0,63%
Federazione Russa;Europa centro orientale;734.0;3.142;3.876;0,61%
Regno Unito;Unione Europea;1.749;2.11;3.859;0,61%
Germania;Unione Europea;1.203;2.096;3.299;0,52%
Bosnia-Erzegovina;Europa centro orientale;1.295;1.28;2.575;0,41%
Turchia;Europa centro orientale;996.0;525.0;1.521;0,24%
Kosovo;Europa centro orientale;710.0;600.0;1.31;0,21%
Portogallo;Unione Europea;543.0;716.0;1.259;0,20%
Bielorussia;Europa centro orientale;272.0;855.0;1.127;0,18%
Croazia;Unione Europea;487.0;624.0;1.111;0,18%
Repubblica di Serbia;Europa centro orientale;473.0;598.0;1.071;0,17%
Paesi Bassi;Unione Europea;405.0;561.0;966.0;0,15%
Grecia;Unione Europea;394.0;444.0;838.0;0,13%
Belgio;Unione Europea;332.0;437.0;769.0;0,12%
Irlanda;Unione Europea;391.0;373.0;764.0;0,12%
Ungheria;Unione Europea;186.0;450.0;636.0;0,10%
Austria;Unione Europea;176.0;451.0;627.0;0,10%
Svizzera;Altri paesi europei;207.0;313.0;520.0;0,08%
Slovacchia;Unione Europea;128.0;390.0;518.0;0,08%
Svezia;Unione Europea;152.0;364.0;516.0;0,08%
Repubblica Ceca;Unione Europea;99.0;365.0;464.0;0,07%
Lituania;Unione Europea;108.0;343.0;451.0;0,07%
Montenegro;Europa centro orientale;171.0;202.0;373.0;0,06%
Danimarca;Unione Europea;85.0;200.0;285.0;0,04%
Finlandia;Unione Europea;63.0;204.0;267.0;0,04%
Norvegia;Altri paesi europei;106.0;124.0;230.0;0,04%
Lettonia;Unione Europea;51.0;173.0;224.0;0,04%
Malta;Unione Europea;84.0;121.0;205.0;0,03%
Slovenia;Unione Europea;56.0;82.0;138.0;0,02%
San Marino;Altri paesi europei;73.0;48.0;121.0;0,02%
Estonia;Unione Europea;19.0;69.0;88.0;0,01%
Cipro;Unione Europea;23.0;19.0;42.0;0,01%
Lussemburgo;Unione Europea;10.0;18.0;28.0;0,00%
Islanda;Altri paesi europei;5.0;12.0;17.0;0,00%
Città del Vaticano;Altri paesi europei;5.0;2.0;7.0;0,00%
Principato di Monaco;Altri paesi europei;2.0;1.0;3.0;0,00%
Andorra;Altri paesi europei;1.0;1.0;2.0;0,00%
Liechtenstein;Altri paesi europei;0.0;1.0;1.0;0,00%
Filippine;Asia orientale;17.668;24.839;42.507;6,70%
Bangladesh;Asia centro meridionale;30.528;11.668;42.196;6,66%
India;Asia centro meridionale;20.176;12.386;32.562;5,14%
Repubblica Popolare Cinese;Asia orientale;11.687;11.741;23.428;3,70%
Sri Lanka (ex Ceylon);Asia centro meridionale;5.841;5.273;11.114;1,75%
Pakistan;Asia centro meridionale;6.18;1.778;7.958;1,26%
Repubblica Islamica dell'Iran;Asia occidentale;1.42;1.429;2.849;0,45%
Georgia;Asia occidentale;442.0;2.286;2.728;0,43%
Afghanistan;Asia centro meridionale;2.198;454.0;2.652;0,42%
Iraq;Asia occidentale;1.235;251.0;1.486;0,23%
Siria;Asia occidentale;769.0;480.0;1.249;0,20%
Giappone;Asia orientale;262.0;865.0;1.127;0,18%
Repubblica di Corea (Corea del Sud);Asia orientale;509.0;496.0;1.005;0,16%
Indonesia;Asia orientale;187.0;578.0;765.0;0,12%
Libano;Asia occidentale;383.0;239.0;622.0;0,10%
Thailandia;Asia orientale;68.0;494.0;562.0;0,09%
Vietnam;Asia orientale;175.0;265.0;440.0;0,07%
Nepal;Asia centro meridionale;241.0;153.0;394.0;0,06%
Israele;Asia occidentale;151.0;130.0;281.0;0,04%
Azerbaigian;Asia occidentale;167.0;103.0;270.0;0,04%
Territori dell'Autonomia Palestinese;Asia occidentale;183.0;55.0;238.0;0,04%
Kazakhstan;Asia centro meridionale;40.0;196.0;236.0;0,04%
Giordania;Asia occidentale;137.0;82.0;219.0;0,03%
Armenia;Asia occidentale;79.0;138.0;217.0;0,03%
Kirghizistan;Asia centro meridionale;33.0;123.0;156.0;0,02%
Myanmar (ex Birmania);Asia orientale;60.0;76.0;136.0;0,02%
Uzbekistan;Asia centro meridionale;41.0;65.0;106.0;0,02%
Malaysia;Asia orientale;38.0;39.0;77.0;0,01%
Yemen;Asia occidentale;37.0;34.0;71.0;0,01%
Taiwan;Asia orientale;10.0;37.0;47.0;0,01%
Kuwait;Asia occidentale;26.0;17.0;43.0;0,01%
Arabia Saudita;Asia occidentale;26.0;11.0;37.0;0,01%
Singapore;Asia orientale;10.0;24.0;34.0;0,01%
Timor Est;Asia orientale;6.0;15.0;21.0;0,00%
Mongolia;Asia orientale;3.0;18.0;21.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;3.0;15.0;18.0;0,00%
Tagikistan;Asia centro meridionale;8.0;9.0;17.0;0,00%
Qatar;Asia occidentale;15.0;1.0;16.0;0,00%
Cambogia;Asia orientale;2.0;7.0;9.0;0,00%
Laos;Asia orientale;0.0;8.0;8.0;0,00%
Bahrein;Asia occidentale;4.0;2.0;6.0;0,00%
Emirati Arabi Uniti;Asia occidentale;6.0;0.0;6.0;0,00%
Turkmenistan;Asia centro meridionale;1.0;4.0;5.0;0,00%
Oman;Asia occidentale;2.0;2.0;4.0;0,00%
Bhutan;Asia centro meridionale;2.0;0.0;2.0;0,00%
Maldive;Asia centro meridionale;2.0;0.0;2.0;0,00%
Egitto;Africa settentrionale;12.365;4.393;16.758;2,64%
Marocco;Africa settentrionale;8.452;6.4;14.852;2,34%
