Paese; Area ; Maschi ; Femmine ; Totale ; %
Albania;Europa centro orientale;11.154;9.882;21.036;13,97%
Romania;Unione Europea;8.977;11.951;20.928;13,90%
Ucraina;Europa centro orientale;1.202;4.625;5.827;3,87%
Federazione Russa;Europa centro orientale;406.0;1.476;1.882;1,25%
Francia;Unione Europea;776.0;1.072;1.848;1,23%
Moldova;Europa centro orientale;546.0;1.108;1.654;1,10%
Germania;Unione Europea;648.0;983.0;1.631;1,08%
Turchia;Europa centro orientale;960.0;618.0;1.578;1,05%
Polonia;Unione Europea;310.0;1.05;1.36;0,90%
Regno Unito;Unione Europea;484.0;624.0;1.108;0,74%
Spagna;Unione Europea;339.0;705.0;1.044;0,69%
Bulgaria;Unione Europea;211.0;523.0;734.0;0,49%
Paesi Bassi;Unione Europea;240.0;300.0;540.0;0,36%
Svizzera;Altri paesi europei;165.0;234.0;399.0;0,27%
Kosovo;Europa centro orientale;178.0;155.0;333.0;0,22%
Bielorussia;Europa centro orientale;57.0;221.0;278.0;0,18%
Bosnia-Erzegovina;Europa centro orientale;151.0;109.0;260.0;0,17%
Ungheria;Unione Europea;78.0;171.0;249.0;0,17%
Repubblica di Serbia;Europa centro orientale;103.0;121.0;224.0;0,15%
Portogallo;Unione Europea;108.0;109.0;217.0;0,14%
Grecia;Unione Europea;117.0;92.0;209.0;0,14%
Lituania;Unione Europea;24.0;182.0;206.0;0,14%
Belgio;Unione Europea;71.0;125.0;196.0;0,13%
Svezia;Unione Europea;85.0;106.0;191.0;0,13%
Croazia;Unione Europea;98.0;90.0;188.0;0,12%
Repubblica Ceca;Unione Europea;30.0;143.0;173.0;0,11%
Macedonia del Nord;Europa centro orientale;87.0;78.0;165.0;0,11%
Slovacchia;Unione Europea;22.0;127.0;149.0;0,10%
Austria;Unione Europea;43.0;85.0;128.0;0,09%
San Marino;Altri paesi europei;79.0;48.0;127.0;0,08%
Danimarca;Unione Europea;52.0;60.0;112.0;0,07%
Lettonia;Unione Europea;16.0;88.0;104.0;0,07%
Irlanda;Unione Europea;47.0;49.0;96.0;0,06%
Norvegia;Altri paesi europei;33.0;34.0;67.0;0,04%
Finlandia;Unione Europea;18.0;48.0;66.0;0,04%
Estonia;Unione Europea;6.0;30.0;36.0;0,02%
Slovenia;Unione Europea;12.0;12.0;24.0;0,02%
Montenegro;Europa centro orientale;6.0;9.0;15.0;0,01%
Cipro;Unione Europea;7.0;6.0;13.0;0,01%
Malta;Unione Europea;3.0;6.0;9.0;0,01%
Lussemburgo;Unione Europea;5.0;1.0;6.0;0,00%
Islanda;Altri paesi europei;2.0;2.0;4.0;0,00%
Principato di Monaco;Altri paesi europei;2.0;2.0;4.0;0,00%
Marocco;Africa settentrionale;8.739;6.285;15.024;9,98%
Senegal;Africa occidentale;2.74;936.0;3.676;2,44%
Tunisia;Africa settentrionale;2.346;1.319;3.665;2,43%
Nigeria;Africa occidentale;1.886;1.307;3.193;2,12%
Egitto;Africa settentrionale;1.996;925.0;2.921;1,94%
Gambia;Africa occidentale;568.0;31.0;599.0;0,40%
Mali;Africa occidentale;484.0;33.0;517.0;0,34%
Algeria;Africa settentrionale;327.0;178.0;505.0;0,34%
Costa d'Avorio;Africa occidentale;364.0;103.0;467.0;0,31%
Camerun;Africa centro meridionale;230.0;177.0;407.0;0,27%
Ghana;Africa occidentale;315.0;50.0;365.0;0,24%
Guinea;Africa occidentale;252.0;33.0;285.0;0,19%
Somalia;Africa orientale;123.0;34.0;157.0;0,10%
Capo Verde;Africa occidentale;53.0;85.0;138.0;0,09%
Burkina Faso (ex Alto Volta);Africa occidentale;87.0;22.0;109.0;0,07%
Sudan;Africa settentrionale;84.0;12.0;96.0;0,06%
Libia;Africa settentrionale;59.0;34.0;93.0;0,06%
Togo;Africa occidentale;60.0;24.0;84.0;0,06%
Etiopia;Africa orientale;39.0;43.0;82.0;0,05%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;30.0;35.0;65.0;0,04%
Eritrea;Africa orientale;26.0;36.0;62.0;0,04%
Angola;Africa centro meridionale;29.0;29.0;58.0;0,04%
