Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;77.944;93.303;171.247;14,56%
Albania;Europa centro orientale;42.432;42.047;84.479;7,18%
Ucraina;Europa centro orientale;13.767;44.51;58.277;4,95%
Moldova;Europa centro orientale;5.974;12.224;18.198;1,55%
Federazione Russa;Europa centro orientale;1.964;7.182;9.146;0,78%
Bulgaria;Unione Europea;3.608;4.798;8.406;0,71%
Kosovo;Europa centro orientale;4.592;3.409;8.001;0,68%
Francia;Unione Europea;3.212;4.397;7.609;0,65%
Spagna;Unione Europea;2.366;4.791;7.157;0,61%
Polonia;Unione Europea;1.782;5.363;7.145;0,61%
Turchia;Europa centro orientale;3.531;3.071;6.602;0,56%
Germania;Unione Europea;2.398;3.443;5.841;0,50%
Regno Unito;Unione Europea;2.436;2.457;4.893;0,42%
Repubblica di Serbia;Europa centro orientale;2.05;2.316;4.366;0,37%
Bosnia-Erzegovina;Europa centro orientale;1.557;1.477;3.034;0,26%
Macedonia del Nord;Europa centro orientale;1.438;1.458;2.896;0,25%
Croazia;Unione Europea;1.126;1.405;2.531;0,22%
Svizzera;Altri paesi europei;973.0;1.341;2.314;0,20%
Portogallo;Unione Europea;888.0;1.073;1.961;0,17%
Paesi Bassi;Unione Europea;898.0;1.05;1.948;0,17%
Grecia;Unione Europea;830.0;954.0;1.784;0,15%
Bielorussia;Europa centro orientale;299.0;1.355;1.654;0,14%
Ungheria;Unione Europea;369.0;1.029;1.398;0,12%
Belgio;Unione Europea;593.0;706.0;1.299;0,11%
Lituania;Unione Europea;217.0;807.0;1.024;0,09%
Slovacchia;Unione Europea;191.0;766.0;957.0;0,08%
Repubblica Ceca;Unione Europea;137.0;689.0;826.0;0,07%
Irlanda;Unione Europea;378.0;446.0;824.0;0,07%
Austria;Unione Europea;269.0;547.0;816.0;0,07%
Lettonia;Unione Europea;108.0;597.0;705.0;0,06%
Svezia;Unione Europea;244.0;440.0;684.0;0,06%
Danimarca;Unione Europea;220.0;251.0;471.0;0,04%
Finlandia;Unione Europea;93.0;300.0;393.0;0,03%
Estonia;Unione Europea;48.0;244.0;292.0;0,02%
Slovenia;Unione Europea;135.0;148.0;283.0;0,02%
Montenegro;Europa centro orientale;125.0;139.0;264.0;0,02%
Norvegia;Altri paesi europei;88.0;123.0;211.0;0,02%
Cipro;Unione Europea;42.0;56.0;98.0;0,01%
Malta;Unione Europea;44.0;53.0;97.0;0,01%
San Marino;Altri paesi europei;47.0;45.0;92.0;0,01%
Lussemburgo;Unione Europea;38.0;29.0;67.0;0,01%
Islanda;Altri paesi europei;20.0;27.0;47.0;0,00%
Liechtenstein;Altri paesi europei;4.0;3.0;7.0;0,00%
Città del Vaticano;Altri paesi europei;2.0;4.0;6.0;0,00%
Andorra;Altri paesi europei;1.0;2.0;3.0;0,00%
Principato di Monaco;Altri paesi europei;1.0;1.0;2.0;0,00%
Repubblica Popolare Cinese;Asia orientale;34.905;35.923;70.828;6,02%
Filippine;Asia orientale;24.58;30.962;55.542;4,72%
India;Asia centro meridionale;27.365;22.794;50.159;4,26%
Pakistan;Asia centro meridionale;27.288;15.163;42.451;3,61%
Sri Lanka (ex Ceylon);Asia centro meridionale;17.285;15.764;33.049;2,81%
