Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;8.372;14.964;23.336;18,08%
Albania;Europa centro orientale;7.042;6.983;14.025;10,87%
Ucraina;Europa centro orientale;1.212;4.543;5.755;4,46%
Macedonia del Nord;Europa centro orientale;2.191;2.356;4.547;3,52%
Moldova;Europa centro orientale;1.088;2.4;3.488;2,70%
Polonia;Unione Europea;765.0;2.526;3.291;2,55%
Federazione Russa;Europa centro orientale;292.0;1.128;1.42;1,10%
Regno Unito;Unione Europea;573.0;532.0;1.105;0,86%
Bulgaria;Unione Europea;318.0;737.0;1.055;0,82%
Germania;Unione Europea;361.0;529.0;890.0;0,69%
Kosovo;Europa centro orientale;365.0;357.0;722.0;0,56%
Paesi Bassi;Unione Europea;307.0;310.0;617.0;0,48%
Spagna;Unione Europea;162.0;329.0;491.0;0,38%
Francia;Unione Europea;157.0;246.0;403.0;0,31%
Bosnia-Erzegovina;Europa centro orientale;180.0;171.0;351.0;0,27%
Bielorussia;Europa centro orientale;65.0;262.0;327.0;0,25%
Croazia;Unione Europea;153.0;147.0;300.0;0,23%
Repubblica di Serbia;Europa centro orientale;127.0;148.0;275.0;0,21%
Slovacchia;Unione Europea;41.0;189.0;230.0;0,18%
Belgio;Unione Europea;105.0;118.0;223.0;0,17%
Grecia;Unione Europea;108.0;110.0;218.0;0,17%
Turchia;Europa centro orientale;120.0;91.0;211.0;0,16%
Repubblica Ceca;Unione Europea;33.0;170.0;203.0;0,16%
Ungheria;Unione Europea;46.0;156.0;202.0;0,16%
Lituania;Unione Europea;18.0;129.0;147.0;0,11%
Svizzera;Altri paesi europei;52.0;70.0;122.0;0,09%
Portogallo;Unione Europea;48.0;62.0;110.0;0,09%
Irlanda;Unione Europea;46.0;59.0;105.0;0,08%
Austria;Unione Europea;29.0;66.0;95.0;0,07%
Lettonia;Unione Europea;22.0;73.0;95.0;0,07%
Svezia;Unione Europea;36.0;45.0;81.0;0,06%
San Marino;Altri paesi europei;29.0;21.0;50.0;0,04%
Danimarca;Unione Europea;21.0;19.0;40.0;0,03%
Finlandia;Unione Europea;10.0;29.0;39.0;0,03%
Slovenia;Unione Europea;16.0;17.0;33.0;0,03%
Montenegro;Europa centro orientale;14.0;17.0;31.0;0,02%
Estonia;Unione Europea;4.0;24.0;28.0;0,02%
Norvegia;Altri paesi europei;8.0;11.0;19.0;0,01%
Malta;Unione Europea;6.0;9.0;15.0;0,01%
Lussemburgo;Unione Europea;3.0;5.0;8.0;0,01%
Cipro;Unione Europea;3.0;1.0;4.0;0,00%
Islanda;Altri paesi europei;0.0;2.0;2.0;0,00%
Repubblica Popolare Cinese;Asia orientale;4.393;4.302;8.695;6,74%
Pakistan;Asia centro meridionale;4.88;1.853;6.733;5,22%
Bangladesh;Asia centro meridionale;3.962;1.831;5.793;4,49%
India;Asia centro meridionale;1.969;1.699;3.668;2,84%
Filippine;Asia orientale;650.0;913.0;1.563;1,21%
Sri Lanka (ex Ceylon);Asia centro meridionale;635.0;477.0;1.112;0,86%
Afghanistan;Asia centro meridionale;769.0;254.0;1.023;0,79%
