Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;1.094;1.822;2.916;23,40%
Albania;Europa centro orientale;309.0;320.0;629.0;5,05%
Ucraina;Europa centro orientale;141.0;461.0;602.0;4,83%
Polonia;Unione Europea;90.0;293.0;383.0;3,07%
Kosovo;Europa centro orientale;60.0;66.0;126.0;1,01%
Bulgaria;Unione Europea;39.0;68.0;107.0;0,86%
Federazione Russa;Europa centro orientale;11.0;80.0;91.0;0,73%
Regno Unito;Unione Europea;40.0;49.0;89.0;0,71%
Moldova;Europa centro orientale;23.0;64.0;87.0;0,70%
Francia;Unione Europea;43.0;43.0;86.0;0,69%
Germania;Unione Europea;18.0;51.0;69.0;0,55%
Spagna;Unione Europea;28.0;32.0;60.0;0,48%
Macedonia del Nord;Europa centro orientale;35.0;25.0;60.0;0,48%
Lituania;Unione Europea;6.0;43.0;49.0;0,39%
Belgio;Unione Europea;20.0;21.0;41.0;0,33%
Slovacchia;Unione Europea;8.0;31.0;39.0;0,31%
Paesi Bassi;Unione Europea;23.0;14.0;37.0;0,30%
Ungheria;Unione Europea;8.0;22.0;30.0;0,24%
Bielorussia;Europa centro orientale;7.0;19.0;26.0;0,21%
Repubblica Ceca;Unione Europea;1.0;21.0;22.0;0,18%
Bosnia-Erzegovina;Europa centro orientale;11.0;5.0;16.0;0,13%
Portogallo;Unione Europea;6.0;9.0;15.0;0,12%
Svizzera;Altri paesi europei;7.0;8.0;15.0;0,12%
Lettonia;Unione Europea;0.0;13.0;13.0;0,10%
Danimarca;Unione Europea;5.0;5.0;10.0;0,08%
Montenegro;Europa centro orientale;4.0;6.0;10.0;0,08%
Repubblica di Serbia;Europa centro orientale;4.0;6.0;10.0;0,08%
Turchia;Europa centro orientale;5.0;5.0;10.0;0,08%
Grecia;Unione Europea;6.0;3.0;9.0;0,07%
Irlanda;Unione Europea;5.0;4.0;9.0;0,07%
Slovenia;Unione Europea;6.0;2.0;8.0;0,06%
Svezia;Unione Europea;1.0;5.0;6.0;0,05%
Croazia;Unione Europea;3.0;3.0;6.0;0,05%
Finlandia;Unione Europea;2.0;3.0;5.0;0,04%
Austria;Unione Europea;0.0;3.0;3.0;0,02%
Estonia;Unione Europea;0.0;3.0;3.0;0,02%
Cipro;Unione Europea;0.0;2.0;2.0;0,02%
Norvegia;Altri paesi europei;0.0;1.0;1.0;0,01%
San Marino;Altri paesi europei;0.0;1.0;1.0;0,01%
Marocco;Africa settentrionale;730.0;602.0;1.332;10,69%
Nigeria;Africa occidentale;404.0;269.0;673.0;5,40%
Senegal;Africa occidentale;188.0;17.0;205.0;1,64%
Somalia;Africa orientale;159.0;43.0;202.0;1,62%
Tunisia;Africa settentrionale;125.0;55.0;180.0;1,44%
Gambia;Africa occidentale;139.0;9.0;148.0;1,19%
Egitto;Africa settentrionale;115.0;28.0;143.0;1,15%
Mali;Africa occidentale;120.0;5.0;125.0;1,00%
Ghana;Africa occidentale;99.0;21.0;120.0;0,96%
Costa d'Avorio;Africa occidentale;82.0;34.0;116.0;0,93%
Guinea;Africa occidentale;72.0;5.0;77.0;0,62%
Camerun;Africa centro meridionale;29.0;16.0;45.0;0,36%
Eritrea;Africa orientale;14.0;15.0;29.0;0,23%
Burkina Faso (ex Alto Volta);Africa occidentale;12.0;12.0;24.0;0,19%
Madagascar;Africa orientale;18.0;1.0;19.0;0,15%
Sierra Leone;Africa occidentale;15.0;4.0;19.0;0,15%
Niger;Africa occidentale;16.0;2.0;18.0;0,14%
Algeria;Africa settentrionale;7.0;9.0;16.0;0,13%
Libia;Africa settentrionale;13.0;2.0;15.0;0,12%
Burundi;Africa orientale;9.0;5.0;14.0;0,11%
Etiopia;Africa orientale;3.0;11.0;14.0;0,11%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;12.0;2.0;14.0;0,11%
Sudan;Africa settentrionale;10.0;3.0;13.0;0,10%
Kenya;Africa orientale;1.0;8.0;9.0;0,07%
Liberia;Africa occidentale;6.0;3.0;9.0;0,07%
Guinea Bissau;Africa occidentale;7.0;0.0;7.0;0,06%
Ciad;Africa centro meridionale;5.0;0.0;5.0;0,04%
Capo Verde;Africa occidentale;2.0;1.0;3.0;0,02%
Repubblica del Congo;Africa centro meridionale;2.0;1.0;3.0;0,02%
Ruanda;Africa orientale;1.0;2.0;3.0;0,02%
Zimbabwe (ex Rhodesia);Africa orientale;2.0;1.0;3.0;0,02%
Mauritania;Africa occidentale;2.0;0.0;2.0;0,02%
Eswatini;Africa centro meridionale;1.0;1.0;2.0;0,02%
Benin (ex Dahomey);Africa occidentale;1.0;0.0;1.0;0,01%
Repubblica Centrafricana;Africa centro meridionale;0.0;1.0;1.0;0,01%
Comore;Africa orientale;1.0;0.0;1.0;0,01%
Mauritius;Africa orientale;0.0;1.0;1.0;0,01%
Sud Africa;Africa centro meridionale;1.0;0.0;1.0;0,01%
Tanzania;Africa orientale;0.0;1.0;1.0;0,01%
Bangladesh;Asia centro meridionale;494.0;32;526.0;4,22%
India;Asia centro meridionale;287.0;194;481.0;3,86%
Pakistan;Asia centro meridionale;439.0;40;479.0;3,84%
Repubblica Popolare Cinese;Asia orientale;129.0;123;252.0;2,02%
Afghanistan;Asia centro meridionale;106.0;35;141.0;1,13%
Iraq;Asia occidentale;31.0;7;38.0;0,30%
Siria;Asia occidentale;18.0;15;33.0;0,26%
Filippine;Asia orientale;4.0;22;26.0;0,21%
Territori dell'Autonomia Palestinese;Asia occidentale;12.0;10;22.0;0,18%
Indonesia;Asia orientale;0.0;19;19.0;0,15%
Armenia;Asia occidentale;6.0;6;12.0;0,10%
Thailandia;Asia orientale;1.0;10;11.0;0,09%
Georgia;Asia occidentale;1.0;9;10.0;0,08%
Sri Lanka (ex Ceylon);Asia centro meridionale;5.0;3;8.0;0,06%
Repubblica Islamica dell'Iran;Asia occidentale;4.0;4;8.0;0,06%
Libano;Asia occidentale;6.0;1;7.0;0,06%
Vietnam;Asia orientale;0.0;7;7.0;0,06%
Uzbekistan;Asia centro meridionale;0.0;4;4.0;0,03%
Israele;Asia occidentale;2.0;1;3.0;0,02%
Repubblica di Corea (Corea del Sud);Asia orientale;1.0;1;2.0;0,02%
Giordania;Asia occidentale;1.0;1;2.0;0,02%
Giappone;Asia orientale;1.0;0;1.0;0,01%
