Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;58.382;73.956;132.338;31,49%
Albania;Europa centro orientale;19.518;18.717;38.235;9,10%
Ucraina;Europa centro orientale;2.62;9.262;11.882;2,83%
Moldova;Europa centro orientale;2.42;4.646;7.066;1,68%
Macedonia del Nord;Europa centro orientale;2.364;2.637;5.001;1,19%
Francia;Unione Europea;1.24;1.909;3.149;0,75%
Turchia;Europa centro orientale;1.903;1.177;3.08;0,73%
Bulgaria;Unione Europea;1.56;1.381;2.941;0,70%
Federazione Russa;Europa centro orientale;549.0;2.057;2.606;0,62%
Polonia;Unione Europea;664.0;1.875;2.539;0,60%
Spagna;Unione Europea;720.0;1.545;2.265;0,54%
Regno Unito;Unione Europea;895.0;890.0;1.785;0,42%
Germania;Unione Europea;705.0;1.079;1.784;0,42%
Bosnia-Erzegovina;Europa centro orientale;694.0;708.0;1.402;0,33%
Svizzera;Altri paesi europei;488.0;532.0;1.02;0,24%
Croazia;Unione Europea;419.0;486.0;905.0;0,22%
Paesi Bassi;Unione Europea;363.0;366.0;729.0;0,17%
Repubblica di Serbia;Europa centro orientale;346.0;377.0;723.0;0,17%
Lituania;Unione Europea;99.0;459.0;558.0;0,13%
Portogallo;Unione Europea;245.0;287.0;532.0;0,13%
Bielorussia;Europa centro orientale;111.0;418.0;529.0;0,13%
Kosovo;Europa centro orientale;263.0;238.0;501.0;0,12%
Belgio;Unione Europea;198.0;211.0;409.0;0,10%
Grecia;Unione Europea;189.0;200.0;389.0;0,09%
Ungheria;Unione Europea;88.0;238.0;326.0;0,08%
Repubblica Ceca;Unione Europea;57.0;246.0;303.0;0,07%
Slovacchia;Unione Europea;56.0;213.0;269.0;0,06%
Austria;Unione Europea;81.0;154.0;235.0;0,06%
Irlanda;Unione Europea;115.0;110.0;225.0;0,05%
Svezia;Unione Europea;83.0;119.0;202.0;0,05%
Lettonia;Unione Europea;29.0;143.0;172.0;0,04%
Danimarca;Unione Europea;50.0;82.0;132.0;0,03%
Finlandia;Unione Europea;32.0;100.0;132.0;0,03%
Norvegia;Altri paesi europei;58.0;58.0;116.0;0,03%
Estonia;Unione Europea;14.0;78.0;92.0;0,02%
