Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;11.214;18.168;29.382;20,67%
Albania;Europa centro orientale;10.102;10.241;20.343;14,31%
Bulgaria;Unione Europea;1.536;2.259;3.795;2,67%
Ucraina;Europa centro orientale;757.0;2.525;3.282;2,31%
Polonia;Unione Europea;540.0;2.191;2.731;1,92%
Regno Unito;Unione Europea;602.0;626.0;1.228;0,86%
Germania;Unione Europea;312.0;712.0;1.024;0,72%
Federazione Russa;Europa centro orientale;117.0;751.0;868.0;0,61%
Francia;Unione Europea;296.0;381.0;677.0;0,48%
Spagna;Unione Europea;239.0;398.0;637.0;0,45%
Moldova;Europa centro orientale;117.0;431.0;548.0;0,39%
Macedonia del Nord;Europa centro orientale;286.0;196.0;482.0;0,34%
Bielorussia;Europa centro orientale;103.0;353.0;456.0;0,32%
Montenegro;Europa centro orientale;155.0;191.0;346.0;0,24%
Grecia;Unione Europea;134.0;169.0;303.0;0,21%
Svizzera;Altri paesi europei;113.0;178.0;291.0;0,20%
Belgio;Unione Europea;97.0;134.0;231.0;0,16%
Slovacchia;Unione Europea;38.0;164.0;202.0;0,14%
Paesi Bassi;Unione Europea;74.0;108.0;182.0;0,13%
Turchia;Europa centro orientale;103.0;77.0;180.0;0,13%
Repubblica di Serbia;Europa centro orientale;76.0;94.0;170.0;0,12%
Lituania;Unione Europea;31.0;137.0;168.0;0,12%
Portogallo;Unione Europea;75.0;85.0;160.0;0,11%
Ungheria;Unione Europea;32.0;115.0;147.0;0,10%
Kosovo;Europa centro orientale;83.0;60.0;143.0;0,10%
Irlanda;Unione Europea;69.0;54.0;123.0;0,09%
Croazia;Unione Europea;48.0;73.0;121.0;0,09%
Repubblica Ceca;Unione Europea;16.0;100.0;116.0;0,08%
Lettonia;Unione Europea;17.0;85.0;102.0;0,07%
Bosnia-Erzegovina;Europa centro orientale;49.0;49.0;98.0;0,07%
Austria;Unione Europea;31.0;56.0;87.0;0,06%
Svezia;Unione Europea;34.0;50.0;84.0;0,06%
Danimarca;Unione Europea;16.0;14.0;30.0;0,02%
Norvegia;Altri paesi europei;14.0;13.0;27.0;0,02%
Finlandia;Unione Europea;3.0;23.0;26.0;0,02%
Estonia;Unione Europea;6.0;16.0;22.0;0,02%
Slovenia;Unione Europea;8.0;13.0;21.0;0,01%
Malta;Unione Europea;7.0;13.0;20.0;0,01%
Lussemburgo;Unione Europea;6.0;5.0;11.0;0,01%
Principato di Monaco;Altri paesi europei;5.0;0.0;5.0;0,00%
Islanda;Altri paesi europei;2.0;1.0;3.0;0,00%
Cipro;Unione Europea;1.0;2.0;3.0;0,00%
San Marino;Altri paesi europei;0.0;2.0;2.0;0,00%
Liechtenstein;Altri paesi europei;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;6.488;4.724;11.212;7,89%
Nigeria;Africa occidentale;3.652;2.275;5.927;4,17%
Senegal;Africa occidentale;4.703;1.029;5.732;4,03%
Gambia;Africa occidentale;2.326;32.0;2.358;1,66%
Mali;Africa occidentale;2.25;45.0;2.295;1,61%
