Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;3.625;7.688;11.313;22,53%
Ucraina;Europa centro orientale;489.0;2.396;2.885;5,75%
Germania;Unione Europea;559.0;655.0;1.214;2,42%
Polonia;Unione Europea;179.0;858.0;1.037;2,07%
Federazione Russa;Europa centro orientale;120.0;668.0;788.0;1,57%
Francia;Unione Europea;329.0;434.0;763.0;1,52%
Albania;Europa centro orientale;380.0;382.0;762.0;1,52%
Regno Unito;Unione Europea;359.0;351.0;710.0;1,41%
Bosnia-Erzegovina;Europa centro orientale;271.0;278.0;549.0;1,09%
Spagna;Unione Europea;213.0;318.0;531.0;1,06%
Ungheria;Unione Europea;42.0;290.0;332.0;0,66%
Repubblica di Serbia;Europa centro orientale;137.0;160.0;297.0;0,59%
Svizzera;Altri paesi europei;108.0;156.0;264.0;0,53%
Slovacchia;Unione Europea;21.0;198.0;219.0;0,44%
Bielorussia;Europa centro orientale;46.0;173.0;219.0;0,44%
Belgio;Unione Europea;108.0;100.0;208.0;0,41%
Paesi Bassi;Unione Europea;88.0;119.0;207.0;0,41%
Repubblica Ceca;Unione Europea;16.0;158.0;174.0;0,35%
Lituania;Unione Europea;20.0;146.0;166.0;0,33%
Bulgaria;Unione Europea;38.0;126.0;164.0;0,33%
Moldova;Europa centro orientale;35.0;113.0;148.0;0,29%
Lettonia;Unione Europea;16.0;86.0;102.0;0,20%
Austria;Unione Europea;31.0;69.0;100.0;0,20%
Portogallo;Unione Europea;49.0;46.0;95.0;0,19%
Grecia;Unione Europea;45.0;34.0;79.0;0,16%
Irlanda;Unione Europea;35.0;44.0;79.0;0,16%
Croazia;Unione Europea;23.0;48.0;71.0;0,14%
Turchia;Europa centro orientale;37.0;31.0;68.0;0,14%
Kosovo;Europa centro orientale;41.0;14.0;55.0;0,11%
Svezia;Unione Europea;16.0;33.0;49.0;0,10%
Macedonia del Nord;Europa centro orientale;21.0;23.0;44.0;0,09%
Estonia;Unione Europea;12.0;31.0;43.0;0,09%
Montenegro;Europa centro orientale;14.0;26.0;40.0;0,08%
Danimarca;Unione Europea;13.0;19.0;32.0;0,06%
Finlandia;Unione Europea;2.0;18.0;20.0;0,04%
Norvegia;Altri paesi europei;9.0;11.0;20.0;0,04%
Lussemburgo;Unione Europea;3.0;6.0;9.0;0,02%
Slovenia;Unione Europea;1.0;7.0;8.0;0,02%
Cipro;Unione Europea;5.0;3.0;8.0;0,02%
Malta;Unione Europea;3.0;1.0;4.0;0,01%
Islanda;Altri paesi europei;1.0;1.0;2.0;0,00%
Liechtenstein;Altri paesi europei;1.0;1.0;2.0;0,00%
San Marino;Altri paesi europei;1.0;0.0;1.0;0,00%
Senegal;Africa occidentale;3.472;817.0;4.289;8,54%
Marocco;Africa settentrionale;2.248;1.734;3.982;7,93%
Nigeria;Africa occidentale;1.086;709.0;1.795;3,57%
Tunisia;Africa settentrionale;395.0;254.0;649.0;1,29%
Gambia;Africa occidentale;397.0;7.0;404.0;0,80%
Mali;Africa occidentale;360.0;5.0;365.0;0,73%
Egitto;Africa settentrionale;184.0;59.0;243.0;0,48%
Ghana;Africa occidentale;178.0;20.0;198.0;0,39%
Guinea;Africa occidentale;189.0;6.0;195.0;0,39%
Algeria;Africa settentrionale;113.0;59.0;172.0;0,34%
Costa d'Avorio;Africa occidentale;141.0;18.0;159.0;0,32%
Eritrea;Africa orientale;28.0;29.0;57.0;0,11%
Camerun;Africa centro meridionale;38.0;18.0;56.0;0,11%
Niger;Africa occidentale;41.0;14.0;55.0;0,11%
Somalia;Africa orientale;37.0;11.0;48.0;0,10%
Kenya;Africa orientale;15.0;23.0;38.0;0,08%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;13.0;20.0;33.0;0,07%
Burkina Faso (ex Alto Volta);Africa occidentale;27.0;1.0;28.0;0,06%
Guinea Bissau;Africa occidentale;25.0;0.0;25.0;0,05%
Sierra Leone;Africa occidentale;21.0;1.0;22.0;0,04%
Repubblica del Congo;Africa centro meridionale;4.0;17.0;21.0;0,04%
Libia;Africa settentrionale;16.0;5.0;21.0;0,04%
Togo;Africa occidentale;16.0;4.0;20.0;0,04%
Etiopia;Africa orientale;9.0;10.0;19.0;0,04%
Benin (ex Dahomey);Africa occidentale;12.0;4.0;16.0;0,03%
Madagascar;Africa orientale;1.0;14.0;15.0;0,03%
Angola;Africa centro meridionale;5.0;7.0;12.0;0,02%
Mauritania;Africa occidentale;9.0;2.0;11.0;0,02%
Sud Africa;Africa centro meridionale;3.0;8.0;11.0;0,02%
Sudan;Africa settentrionale;10.0;1.0;11.0;0,02%
Tanzania;Africa orientale;8.0;3.0;11.0;0,02%
Uganda;Africa orientale;3.0;6.0;9.0;0,02%
Capo Verde;Africa occidentale;2.0;6.0;8.0;0,02%
Mozambico;Africa orientale;3.0;4.0;7.0;0,01%
Mauritius;Africa orientale;2.0;4.0;6.0;0,01%
Liberia;Africa occidentale;5.0;0.0;5.0;0,01%
Burundi;Africa orientale;3.0;1.0;4.0;0,01%
Guinea Equatoriale;Africa centro meridionale;3.0;1.0;4.0;0,01%
Ruanda;Africa orientale;1.0;2.0;3.0;0,01%
Seychelles;Africa orientale;2.0;1.0;3.0;0,01%
Zambia;Africa orientale;0.0;3.0;3.0;0,01%
Ciad;Africa centro meridionale;0.0;2.0;2.0;0,00%
