Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;18.333;27.688;46.021;24,05%
Albania;Europa centro orientale;5.782;5.331;11.113;5,81%
Polonia;Unione Europea;717.0;3.381;4.098;2,14%
Ucraina;Europa centro orientale;588.0;2.138;2.726;1,42%
Germania;Unione Europea;470.0;1.075;1.545;0,81%
Federazione Russa;Europa centro orientale;147.0;1.273;1.42;0,74%
Francia;Unione Europea;369.0;685.0;1.054;0,55%
Bulgaria;Unione Europea;391.0;662.0;1.053;0,55%
Regno Unito;Unione Europea;421.0;506.0;927.0;0,48%
Spagna;Unione Europea;283.0;450.0;733.0;0,38%
Repubblica di Serbia;Europa centro orientale;210.0;270.0;480.0;0,25%
Bielorussia;Europa centro orientale;48.0;337.0;385.0;0,20%
Belgio;Unione Europea;151.0;179.0;330.0;0,17%
Svizzera;Altri paesi europei;84.0;156.0;240.0;0,13%
Ungheria;Unione Europea;57.0;171.0;228.0;0,12%
Moldova;Europa centro orientale;44.0;179.0;223.0;0,12%
Paesi Bassi;Unione Europea;79.0;140.0;219.0;0,11%
Malta;Unione Europea;70.0;121.0;191.0;0,10%
Portogallo;Unione Europea;91.0;97.0;188.0;0,10%
Grecia;Unione Europea;85.0;102.0;187.0;0,10%
Austria;Unione Europea;53.0;113.0;166.0;0,09%
Repubblica Ceca;Unione Europea;37.0;126.0;163.0;0,09%
Slovacchia;Unione Europea;26.0;127.0;153.0;0,08%
Svezia;Unione Europea;46.0;88.0;134.0;0,07%
Lituania;Unione Europea;16.0;102.0;118.0;0,06%
Turchia;Europa centro orientale;53.0;60.0;113.0;0,06%
Macedonia del Nord;Europa centro orientale;53.0;57.0;110.0;0,06%
Lettonia;Unione Europea;14.0;76.0;90.0;0,05%
Irlanda;Unione Europea;42.0;45.0;87.0;0,05%
Croazia;Unione Europea;29.0;54.0;83.0;0,04%
Kosovo;Europa centro orientale;44.0;37.0;81.0;0,04%
Danimarca;Unione Europea;30.0;36.0;66.0;0,03%
Bosnia-Erzegovina;Europa centro orientale;24.0;40.0;64.0;0,03%
Finlandia;Unione Europea;13.0;45.0;58.0;0,03%
Montenegro;Europa centro orientale;31.0;24.0;55.0;0,03%
Estonia;Unione Europea;5.0;40.0;45.0;0,02%
Norvegia;Altri paesi europei;15.0;18.0;33.0;0,02%
Slovenia;Unione Europea;11.0;16.0;27.0;0,01%
Lussemburgo;Unione Europea;2.0;3.0;5.0;0,00%
Cipro;Unione Europea;0.0;2.0;2.0;0,00%
Principato di Monaco;Altri paesi europei;1.0;0.0;1.0;0,00%
Città del Vaticano;Altri paesi europei;1.0;0.0;1.0;0,00%
Tunisia;Africa settentrionale;15.26;7.624;22.884;11,96%
Marocco;Africa settentrionale;8.861;6.623;15.484;8,09%
Nigeria;Africa occidentale;3.254;1.961;5.215;2,73%
Senegal;Africa occidentale;3.36;481.0;3.841;2,01%
Ghana;Africa occidentale;2.535;1.223;3.758;1,96%
Gambia;Africa occidentale;3.118;72.0;3.19;1,67%
Mauritius;Africa orientale;930.0;1.235;2.165;1,13%
Mali;Africa occidentale;1.656;47.0;1.703;0,89%
Costa d'Avorio;Africa occidentale;1.058;412.0;1.47;0,77%
Egitto;Africa settentrionale;1.051;190.0;1.241;0,65%
Somalia;Africa orientale;906.0;233.0;1.139;0,60%
Algeria;Africa settentrionale;719.0;316.0;1.035;0,54%
Guinea;Africa occidentale;748.0;41.0;789.0;0,41%
Eritrea;Africa orientale;241.0;119.0;360.0;0,19%
Sudan;Africa settentrionale;235.0;57.0;292.0;0,15%
Camerun;Africa centro meridionale;154.0;76.0;230.0;0,12%
Etiopia;Africa orientale;100.0;126.0;226.0;0,12%
Guinea Bissau;Africa occidentale;173.0;11.0;184.0;0,10%
Burkina Faso (ex Alto Volta);Africa occidentale;152.0;26.0;178.0;0,09%
Capo Verde;Africa occidentale;67.0;110.0;177.0;0,09%
Libia;Africa settentrionale;118.0;41.0;159.0;0,08%
Madagascar;Africa orientale;32.0;117.0;149.0;0,08%
Togo;Africa occidentale;111.0;21.0;132.0;0,07%
Tanzania;Africa orientale;18.0;95.0;113.0;0,06%
Liberia;Africa occidentale;69.0;26.0;95.0;0,05%
Sierra Leone;Africa occidentale;84.0;11.0;95.0;0,05%
Niger;Africa occidentale;83.0;4.0;87.0;0,05%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;30.0;54.0;84.0;0,04%
Benin (ex Dahomey);Africa occidentale;71.0;7.0;78.0;0,04%
Repubblica del Congo;Africa centro meridionale;34.0;40.0;74.0;0,04%
Kenya;Africa orientale;13.0;28.0;41.0;0,02%
Mauritania;Africa occidentale;32.0;9.0;41.0;0,02%
Ruanda;Africa orientale;10.0;27.0;37.0;0,02%
Ciad;Africa centro meridionale;31.0;5.0;36.0;0,02%
Sud Africa;Africa centro meridionale;6.0;21.0;27.0;0,01%
Burundi;Africa orientale;3.0;12.0;15.0;0,01%
Gabon;Africa centro meridionale;9.0;6.0;15.0;0,01%
Uganda;Africa orientale;3.0;6.0;9.0;0,00%
Guinea Equatoriale;Africa centro meridionale;4.0;4.0;8.0;0,00%
Mozambico;Africa orientale;4.0;3.0;7.0;0,00%
Seychelles;Africa orientale;2.0;4.0;6.0;0,00%
Zambia;Africa orientale;1.0;5.0;6.0;0,00%
Angola;Africa centro meridionale;3.0;1.0;4.0;0,00%
Namibia;Africa centro meridionale;0.0;4.0;4.0;0,00%
Zimbabwe (ex Rhodesia);Africa orientale;1.0;3.0;4.0;0,00%
Repubblica Centrafricana;Africa centro meridionale;3.0;0.0;3.0;0,00%
Sud Sudan;Africa settentrionale;3.0;0.0;3.0;0,00%
Eswatini;Africa centro meridionale;0.0;2.0;2.0;0,00%
Malawi;Africa orientale;0.0;1.0;1.0;0,00%
Sri Lanka (ex Ceylon);Asia centro meridionale;6.399;5.944;12.343;6,45%
Bangladesh;Asia centro meridionale;8.5;3.166;11.666;6,10%
Repubblica Popolare Cinese;Asia orientale;3.731;3.448;7.179;3,75%
Filippine;Asia orientale;2.086;2.763;4.849;2,53%
India;Asia centro meridionale;1.331;1.03;2.361;1,23%
Pakistan;Asia centro meridionale;1.799;323.0;2.122;1,11%
Afghanistan;Asia centro meridionale;536.0;123.0;659.0;0,34%
Repubblica Islamica dell'Iran;Asia occidentale;123.0;127.0;250.0;0,13%
Siria;Asia occidentale;114.0;71.0;185.0;0,10%
Georgia;Asia occidentale;27.0;98.0;125.0;0,07%
Giappone;Asia orientale;17.0;87.0;104.0;0,05%
Thailandia;Asia orientale;9.0;95.0;104.0;0,05%
Iraq;Asia occidentale;84.0;15.0;99.0;0,05%
Indonesia;Asia orientale;13.0;61.0;74.0;0,04%
Vietnam;Asia orientale;18.0;47.0;65.0;0,03%
Israele;Asia occidentale;39.0;24.0;63.0;0,03%
Libano;Asia occidentale;23.0;29.0;52.0;0,03%
Kazakhstan;Asia centro meridionale;6.0;39.0;45.0;0,02%
Territori dell'Autonomia Palestinese;Asia occidentale;34.0;2.0;36.0;0,02%
Malaysia;Asia orientale;21.0;10.0;31.0;0,02%
Kirghizistan;Asia centro meridionale;7.0;21.0;28.0;0,01%
Giordania;Asia occidentale;14.0;12.0;26.0;0,01%
Armenia;Asia occidentale;5.0;16.0;21.0;0,01%
Myanmar (ex Birmania);Asia orientale;3.0;17.0;20.0;0,01%
Repubblica di Corea (Corea del Sud);Asia orientale;4.0;16.0;20.0;0,01%
Uzbekistan;Asia centro meridionale;4.0;12.0;16.0;0,01%
Nepal;Asia centro meridionale;10.0;4.0;14.0;0,01%
Yemen;Asia occidentale;7.0;6.0;13.0;0,01%
Azerbaigian;Asia occidentale;5.0;8.0;13.0;0,01%
Taiwan;Asia orientale;2.0;6.0;8.0;0,00%
Singapore;Asia orientale;1.0;4.0;5.0;0,00%
Mongolia;Asia orientale;3.0;1.0;4.0;0,00%
Oman;Asia occidentale;2.0;0.0;2.0;0,00%
Bahrein;Asia occidentale;1.0;0.0;1.0;0,00%
Emirati Arabi Uniti;Asia occidentale;1.0;0.0;1.0;0,00%
Kuwait;Asia occidentale;1.0;0.0;1.0;0,00%
Laos;Asia orientale;0.0;1.0;1.0;0,00%
Timor Est;Asia orientale;0.0;1.0;1.0;0,00%
Turkmenistan;Asia centro meridionale;1.0;0.0;1.0;0,00%
Argentina;America centro meridionale;654.0;731.0;1.385;0,72%
Brasile;America centro meridionale;257.0;838.0;1.095;0,57%
Venezuela;America centro meridionale;262.0;531.0;793.0;0,41%
Colombia;America centro meridionale;192.0;466.0;658.0;0,34%
Stati Uniti d'America;America settentrionale;313.0;330.0;643.0;0,34%
Cuba;America centro meridionale;143.0;469.0;612.0;0,32%
Repubblica Dominicana;America centro meridionale;102.0;289.0;391.0;0,20%
Ecuador;America centro meridionale;106.0;178.0;284.0;0,15%
Perù;America centro meridionale;66.0;155.0;221.0;0,12%
Messico;America centro meridionale;29.0;124.0;153.0;0,08%
Honduras;America centro meridionale;18.0;92.0;110.0;0,06%
Canada;America settentrionale;30.0;59.0;89.0;0,05%
El Salvador;America centro meridionale;20.0;35.0;55.0;0,03%
Cile;America centro meridionale;18.0;32.0;50.0;0,03%
Bolivia;America centro meridionale;10.0;26.0;36.0;0,02%
Guatemala;America centro meridionale;3.0;26.0;29.0;0,02%
Dominica;America centro meridionale;6.0;17.0;23.0;0,01%
Uruguay;America centro meridionale;7.0;16.0;23.0;0,01%
Paraguay;America centro meridionale;3.0;19.0;22.0;0,01%
Panama;America centro meridionale;6.0;11.0;17.0;0,01%
Costa Rica;America centro meridionale;4.0;10.0;14.0;0,01%
Nicaragua;America centro meridionale;4.0;8.0;12.0;0,01%
Giamaica;America centro meridionale;2.0;7.0;9.0;0,00%
