Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;5.763;7.922;13.685;13,93%
Albania;Europa centro orientale;6.117;5.453;11.57;11,77%
Germania;Unione Europea;2.179;2.925;5.104;5,19%
Ucraina;Europa centro orientale;1.176;3.604;4.78;4,86%
Macedonia del Nord;Europa centro orientale;1.625;1.739;3.364;3,42%
Kosovo;Europa centro orientale;1.656;1.456;3.112;3,17%
Moldova;Europa centro orientale;833.0;1.7;2.533;2,58%
Slovacchia;Unione Europea;749.0;1.576;2.325;2,37%
Polonia;Unione Europea;633.0;1.368;2.001;2,04%
Austria;Unione Europea;603.0;1.202;1.805;1,84%
Repubblica di Serbia;Europa centro orientale;717.0;711.0;1.428;1,45%
Ungheria;Unione Europea;420.0;646.0;1.066;1,08%
Bulgaria;Unione Europea;374.0;542.0;916.0;0,93%
Croazia;Unione Europea;312.0;463.0;775.0;0,79%
Bosnia-Erzegovina;Europa centro orientale;352.0;365.0;717.0;0,73%
Federazione Russa;Europa centro orientale;172.0;495.0;667.0;0,68%
Spagna;Unione Europea;215.0;299.0;514.0;0,52%
Repubblica Ceca;Unione Europea;140.0;339.0;479.0;0,49%
Turchia;Europa centro orientale;253.0;204.0;457.0;0,47%
Regno Unito;Unione Europea;158.0;176.0;334.0;0,34%
Francia;Unione Europea;131.0;166.0;297.0;0,30%
Paesi Bassi;Unione Europea;140.0;147.0;287.0;0,29%
Svizzera;Altri paesi europei;96.0;177.0;273.0;0,28%
Bielorussia;Europa centro orientale;34.0;138.0;172.0;0,18%
Portogallo;Unione Europea;86.0;52.0;138.0;0,14%
Grecia;Unione Europea;63.0;70.0;133.0;0,14%
Lituania;Unione Europea;44.0;86.0;130.0;0,13%
Belgio;Unione Europea;42.0;59.0;101.0;0,10%
Lettonia;Unione Europea;14.0;43.0;57.0;0,06%
Irlanda;Unione Europea;25.0;31.0;56.0;0,06%
Slovenia;Unione Europea;25.0;29.0;54.0;0,05%
Montenegro;Europa centro orientale;23.0;31.0;54.0;0,05%
Svezia;Unione Europea;21.0;27.0;48.0;0,05%
Finlandia;Unione Europea;13.0;27.0;40.0;0,04%
Danimarca;Unione Europea;16.0;22.0;38.0;0,04%
Norvegia;Altri paesi europei;8.0;12.0;20.0;0,02%
Estonia;Unione Europea;3.0;12.0;15.0;0,02%
Lussemburgo;Unione Europea;8.0;5.0;13.0;0,01%
Cipro;Unione Europea;5.0;5.0;10.0;0,01%
Islanda;Altri paesi europei;3.0;2.0;5.0;0,01%
Malta;Unione Europea;1.0;4.0;5.0;0,01%
Liechtenstein;Altri paesi europei;2.0;2.0;4.0;0,00%
San Marino;Altri paesi europei;3.0;1.0;4.0;0,00%
Pakistan;Asia centro meridionale;4.638;2.541;7.179;7,31%
India;Asia centro meridionale;1.656;1.018;2.674;2,72%
Repubblica Popolare Cinese;Asia orientale;1.244;1.242;2.486;2,53%
Bangladesh;Asia centro meridionale;1.116;617.0;1.733;1,76%
Iraq;Asia occidentale;522.0;337.0;859.0;0,87%
Afghanistan;Asia centro meridionale;458.0;151.0;609.0;0,62%
Repubblica Islamica dell'Iran;Asia occidentale;273.0;202.0;475.0;0,48%
Filippine;Asia orientale;169.0;247.0;416.0;0,42%
Sri Lanka (ex Ceylon);Asia centro meridionale;187.0;139.0;326.0;0,33%
Georgia;Asia occidentale;62.0;237.0;299.0;0,30%
Thailandia;Asia orientale;23.0;230.0;253.0;0,26%
Siria;Asia occidentale;91.0;71.0;162.0;0,16%
Armenia;Asia occidentale;44.0;44.0;88.0;0,09%
Giappone;Asia orientale;17.0;58.0;75.0;0,08%
Indonesia;Asia orientale;9.0;31.0;40.0;0,04%
