Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;8.401;14.129;22.53;25,44%
Albania;Europa centro orientale;5.411;5.281;10.692;12,07%
Ucraina;Europa centro orientale;1.064;3.999;5.063;5,72%
Macedonia del Nord;Europa centro orientale;1.786;1.301;3.087;3,49%
Moldova;Europa centro orientale;610.0;1.358;1.968;2,22%
Polonia;Unione Europea;461.0;1.294;1.755;1,98%
Regno Unito;Unione Europea;601.0;625.0;1.226;1,38%
Bulgaria;Unione Europea;235.0;737.0;972.0;1,10%
Germania;Unione Europea;289.0;477.0;766.0;0,86%
Federazione Russa;Europa centro orientale;83.0;528.0;611.0;0,69%
Spagna;Unione Europea;147.0;301.0;448.0;0,51%
Francia;Unione Europea;159.0;285.0;444.0;0,50%
Kosovo;Europa centro orientale;199.0;179.0;378.0;0,43%
Paesi Bassi;Unione Europea;163.0;170.0;333.0;0,38%
Repubblica di Serbia;Europa centro orientale;138.0;142.0;280.0;0,32%
Bielorussia;Europa centro orientale;44.0;145.0;189.0;0,21%
Belgio;Unione Europea;87.0;97.0;184.0;0,21%
Grecia;Unione Europea;65.0;104.0;169.0;0,19%
Repubblica Ceca;Unione Europea;18.0;123.0;141.0;0,16%
Bosnia-Erzegovina;Europa centro orientale;58.0;70.0;128.0;0,14%
Irlanda;Unione Europea;65.0;57.0;122.0;0,14%
Slovacchia;Unione Europea;28.0;94.0;122.0;0,14%
Svizzera;Altri paesi europei;50.0;67.0;117.0;0,13%
Turchia;Europa centro orientale;75.0;41.0;116.0;0,13%
Croazia;Unione Europea;43.0;54.0;97.0;0,11%
Austria;Unione Europea;32.0;61.0;93.0;0,11%
Ungheria;Unione Europea;19.0;70.0;89.0;0,10%
Lituania;Unione Europea;12.0;76.0;88.0;0,10%
Danimarca;Unione Europea;37.0;44.0;81.0;0,09%
Svezia;Unione Europea;30.0;46.0;76.0;0,09%
Portogallo;Unione Europea;25.0;40.0;65.0;0,07%
Lettonia;Unione Europea;12.0;39.0;51.0;0,06%
Finlandia;Unione Europea;6.0;23.0;29.0;0,03%
Norvegia;Altri paesi europei;10.0;19.0;29.0;0,03%
Estonia;Unione Europea;1.0;19.0;20.0;0,02%
Malta;Unione Europea;13.0;6.0;19.0;0,02%
Slovenia;Unione Europea;7.0;9.0;16.0;0,02%
Cipro;Unione Europea;4.0;10.0;14.0;0,02%
Lussemburgo;Unione Europea;9.0;4.0;13.0;0,01%
Montenegro;Europa centro orientale;6.0;6.0;12.0;0,01%
San Marino;Altri paesi europei;5.0;1.0;6.0;0,01%
Islanda;Altri paesi europei;0.0;1.0;1.0;0,00%
Liechtenstein;Altri paesi europei;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;4.68;4.269;8.949;10,10%
Nigeria;Africa occidentale;1.53;1.158;2.688;3,03%
Tunisia;Africa settentrionale;784.0;473.0;1.257;1,42%
Costa d'Avorio;Africa occidentale;434.0;348.0;782.0;0,88%
Algeria;Africa settentrionale;413.0;298.0;711.0;0,80%
Egitto;Africa settentrionale;512.0;140.0;652.0;0,74%
Camerun;Africa centro meridionale;295.0;290.0;585.0;0,66%
Senegal;Africa occidentale;326.0;75.0;401.0;0,45%
Gambia;Africa occidentale;301.0;16.0;317.0;0,36%
Mali;Africa occidentale;248.0;25.0;273.0;0,31%
Ghana;Africa occidentale;166.0;37.0;203.0;0,23%
Repubblica del Congo;Africa centro meridionale;98.0;84.0;182.0;0,21%
Etiopia;Africa orientale;67.0;83.0;150.0;0,17%
Libia;Africa settentrionale;104.0;43.0;147.0;0,17%
Guinea;Africa occidentale;104.0;23.0;127.0;0,14%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;35.0;47.0;82.0;0,09%
Gabon;Africa centro meridionale;35.0;39.0;74.0;0,08%
Somalia;Africa orientale;47.0;21.0;68.0;0,08%
Burkina Faso (ex Alto Volta);Africa occidentale;43.0;23.0;66.0;0,07%
Togo;Africa occidentale;44.0;18.0;62.0;0,07%
Kenya;Africa orientale;22.0;35.0;57.0;0,06%
Eritrea;Africa orientale;28.0;29.0;57.0;0,06%
Liberia;Africa occidentale;23.0;9.0;32.0;0,04%
Benin (ex Dahomey);Africa occidentale;19.0;9.0;28.0;0,03%
Sierra Leone;Africa occidentale;22.0;6.0;28.0;0,03%
Capo Verde;Africa occidentale;7.0;12.0;19.0;0,02%
Niger;Africa occidentale;13.0;5.0;18.0;0,02%
Sud Africa;Africa centro meridionale;6.0;12.0;18.0;0,02%
Angola;Africa centro meridionale;10.0;6.0;16.0;0,02%
Sudan;Africa settentrionale;12.0;3.0;15.0;0,02%
Madagascar;Africa orientale;4.0;9.0;13.0;0,01%
Zambia;Africa orientale;6.0;7.0;13.0;0,01%
Guinea Bissau;Africa occidentale;12.0;0.0;12.0;0,01%
Tanzania;Africa orientale;6.0;5.0;11.0;0,01%
Gibuti;Africa orientale;3.0;6.0;9.0;0,01%
Ruanda;Africa orientale;4.0;5.0;9.0;0,01%
Mauritius;Africa orientale;2.0;6.0;8.0;0,01%
Uganda;Africa orientale;4.0;4.0;8.0;0,01%
Repubblica Centrafricana;Africa centro meridionale;2.0;3.0;5.0;0,01%
Guinea Equatoriale;Africa centro meridionale;2.0;2.0;4.0;0,00%
Mauritania;Africa occidentale;3.0;0.0;3.0;0,00%
Mozambico;Africa orientale;1.0;2.0;3.0;0,00%
Zimbabwe (ex Rhodesia);Africa orientale;1.0;1.0;2.0;0,00%
Seychelles;Africa orientale;0.0;1.0;1.0;0,00%
Repubblica Popolare Cinese;Asia orientale;1.311;1.308;2.619;2,96%
Filippine;Asia orientale;850.0;1.019;1.869;2,11%
India;Asia centro meridionale;863.0;600.0;1.463;1,65%
Pakistan;Asia centro meridionale;1.019;176.0;1.195;1,35%
Bangladesh;Asia centro meridionale;879.0;264.0;1.143;1,29%
Afghanistan;Asia centro meridionale;276.0;56.0;332.0;0,37%
Sri Lanka (ex Ceylon);Asia centro meridionale;181.0;137.0;318.0;0,36%
Repubblica Islamica dell'Iran;Asia occidentale;161.0;130.0;291.0;0,33%
Iraq;Asia occidentale;142.0;31.0;173.0;0,20%
Giappone;Asia orientale;39.0;127.0;166.0;0,19%
Uzbekistan;Asia centro meridionale;13.0;76.0;89.0;0,10%
Siria;Asia occidentale;40.0;35.0;75.0;0,08%
Libano;Asia occidentale;40.0;27.0;67.0;0,08%
Thailandia;Asia orientale;6.0;53.0;59.0;0,07%
Giordania;Asia occidentale;35.0;18.0;53.0;0,06%
Territori dell'Autonomia Palestinese;Asia occidentale;33.0;17.0;50.0;0,06%
Repubblica di Corea (Corea del Sud);Asia orientale;20.0;29.0;49.0;0,06%
Georgia;Asia occidentale;12.0;35.0;47.0;0,05%
Kirghizistan;Asia centro meridionale;8.0;36.0;44.0;0,05%
Israele;Asia occidentale;19.0;24.0;43.0;0,05%
Indonesia;Asia orientale;9.0;32.0;41.0;0,05%
Kazakhstan;Asia centro meridionale;6.0;35.0;41.0;0,05%
Armenia;Asia occidentale;22.0;16.0;38.0;0,04%
Mongolia;Asia orientale;3.0;17.0;20.0;0,02%
Azerbaigian;Asia occidentale;9.0;4.0;13.0;0,01%
Vietnam;Asia orientale;4.0;7.0;11.0;0,01%
Malaysia;Asia orientale;3.0;5.0;8.0;0,01%
Taiwan;Asia orientale;1.0;5.0;6.0;0,01%
