Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;865.0;1.414;2.279;27,19%
Albania;Europa centro orientale;383.0;331.0;714.0;8,52%
Ucraina;Europa centro orientale;82.0;300.0;382.0;4,56%
Francia;Unione Europea;76.0;140.0;216.0;2,58%
Moldova;Europa centro orientale;52.0;99.0;151.0;1,80%
Polonia;Unione Europea;36.0;93.0;129.0;1,54%
Regno Unito;Unione Europea;46.0;51.0;97.0;1,16%
Federazione Russa;Europa centro orientale;13.0;50.0;63.0;0,75%
Germania;Unione Europea;19.0;35.0;54.0;0,64%
Spagna;Unione Europea;17.0;37.0;54.0;0,64%
Belgio;Unione Europea;14.0;30.0;44.0;0,52%
Bulgaria;Unione Europea;12.0;20.0;32.0;0,38%
Svizzera;Altri paesi europei;14.0;16.0;30.0;0,36%
Bielorussia;Europa centro orientale;9.0;18.0;27.0;0,32%
Portogallo;Unione Europea;12.0;14.0;26.0;0,31%
Svezia;Unione Europea;5.0;18.0;23.0;0,27%
Repubblica di Serbia;Europa centro orientale;13.0;10.0;23.0;0,27%
Bosnia-Erzegovina;Europa centro orientale;5.0;9.0;14.0;0,17%
Paesi Bassi;Unione Europea;6.0;7.0;13.0;0,16%
Ungheria;Unione Europea;4.0;9.0;13.0;0,16%
Lituania;Unione Europea;1.0;11.0;12.0;0,14%
Macedonia del Nord;Europa centro orientale;7.0;5.0;12.0;0,14%
Slovacchia;Unione Europea;3.0;9.0;12.0;0,14%
Turchia;Europa centro orientale;6.0;6.0;12.0;0,14%
Croazia;Unione Europea;3.0;7.0;10.0;0,12%
Repubblica Ceca;Unione Europea;0.0;10.0;10.0;0,12%
Danimarca;Unione Europea;4.0;5.0;9.0;0,11%
Grecia;Unione Europea;4.0;4.0;8.0;0,10%
Montenegro;Europa centro orientale;2.0;5.0;7.0;0,08%
Kosovo;Europa centro orientale;4.0;2.0;6.0;0,07%
Austria;Unione Europea;1.0;4.0;5.0;0,06%
Estonia;Unione Europea;1.0;4.0;5.0;0,06%
Irlanda;Unione Europea;2.0;2.0;4.0;0,05%
Norvegia;Altri paesi europei;1.0;3.0;4.0;0,05%
Lettonia;Unione Europea;0.0;4.0;4.0;0,05%
Finlandia;Unione Europea;0.0;2.0;2.0;0,02%
San Marino;Altri paesi europei;2.0;0.0;2.0;0,02%
Lussemburgo;Unione Europea;0.0;1.0;1.0;0,01%
Malta;Unione Europea;0.0;1.0;1.0;0,01%
Marocco;Africa settentrionale;801.0;723;1.524;18,18%
Tunisia;Africa settentrionale;182.0;98;280.0;3,34%
Nigeria;Africa occidentale;69.0;36;105.0;1,25%
Senegal;Africa occidentale;43.0;15;58.0;0,69%
Egitto;Africa settentrionale;36.0;12;48.0;0,57%
Algeria;Africa settentrionale;28.0;17;45.0;0,54%
Gambia;Africa occidentale;41.0;0;41.0;0,49%
Guinea;Africa occidentale;40.0;1;41.0;0,49%
Mali;Africa occidentale;41.0;0;41.0;0,49%
Camerun;Africa centro meridionale;19.0;16;35.0;0,42%
Madagascar;Africa orientale;1.0;33;34.0;0,41%
Costa d'Avorio;Africa occidentale;20.0;11;31.0;0,37%
Ghana;Africa occidentale;23.0;5;28.0;0,33%
Somalia;Africa orientale;23.0;2;25.0;0,30%
Guinea Bissau;Africa occidentale;5.0;4;9.0;0,11%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;5.0;3;8.0;0,10%
Burkina Faso (ex Alto Volta);Africa occidentale;4.0;3;7.0;0,08%
Sudan;Africa settentrionale;5.0;2;7.0;0,08%
Benin (ex Dahomey);Africa occidentale;4.0;2;6.0;0,07%
Kenya;Africa orientale;4.0;2;6.0;0,07%
Burundi;Africa orientale;4.0;1;5.0;0,06%
Sud Africa;Africa centro meridionale;2.0;2;4.0;0,05%
Togo;Africa occidentale;4.0;0;4.0;0,05%
Eritrea;Africa orientale;3.0;1;4.0;0,05%
Repubblica del Congo;Africa centro meridionale;2.0;1;3.0;0,04%
Tanzania;Africa orientale;2.0;0;2.0;0,02%
Capo Verde;Africa occidentale;0.0;1;1.0;0,01%
Ciad;Africa centro meridionale;1.0;0;1.0;0,01%
Libia;Africa settentrionale;1.0;0;1.0;0,01%
Mauritania;Africa occidentale;1.0;0;1.0;0,01%
Mozambico;Africa orientale;1.0;0;1.0;0,01%
