Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania;Unione Europea;56.954;69.39;126.344;25,36%
Albania;Europa centro orientale;16.061;15.777;31.838;6,39%
Moldova;Europa centro orientale;9.776;18.777;28.553;5,73%
Ucraina;Europa centro orientale;3.962;14.049;18.011;3,62%
Repubblica di Serbia;Europa centro orientale;5.369;5.521;10.89;2,19%
Macedonia del Nord;Europa centro orientale;5.091;5.085;10.176;2,04%
Kosovo;Europa centro orientale;5.315;4.171;9.486;1,90%
Bosnia-Erzegovina;Europa centro orientale;2.883;2.425;5.308;1,07%
Polonia;Unione Europea;1.122;2.697;3.819;0,77%
Croazia;Unione Europea;1.914;1.903;3.817;0,77%
Federazione Russa;Europa centro orientale;575.0;2.109;2.684;0,54%
Germania;Unione Europea;944.0;1.455;2.399;0,48%
Bulgaria;Unione Europea;769.0;1.33;2.099;0,42%
Spagna;Unione Europea;669.0;1.31;1.979;0,40%
Francia;Unione Europea;669.0;982.0;1.651;0,33%
Regno Unito;Unione Europea;760.0;857.0;1.617;0,32%
Ungheria;Unione Europea;200.0;738.0;938.0;0,19%
Turchia;Europa centro orientale;483.0;392.0;875.0;0,18%
Slovacchia;Unione Europea;215.0;605.0;820.0;0,16%
Repubblica Ceca;Unione Europea;78.0;528.0;606.0;0,12%
Grecia;Unione Europea;291.0;299.0;590.0;0,12%
Paesi Bassi;Unione Europea;250.0;311.0;561.0;0,11%
Portogallo;Unione Europea;260.0;292.0;552.0;0,11%
Austria;Unione Europea;167.0;364.0;531.0;0,11%
Bielorussia;Europa centro orientale;108.0;402.0;510.0;0,10%
Belgio;Unione Europea;169.0;230.0;399.0;0,08%
Lituania;Unione Europea;65.0;248.0;313.0;0,06%
Slovenia;Unione Europea;147.0;155.0;302.0;0,06%
Svizzera;Altri paesi europei;135.0;142.0;277.0;0,06%
Irlanda;Unione Europea;123.0;110.0;233.0;0,05%
Lettonia;Unione Europea;43.0;143.0;186.0;0,04%
Svezia;Unione Europea;65.0;110.0;175.0;0,04%
Montenegro;Europa centro orientale;59.0;74.0;133.0;0,03%
Danimarca;Unione Europea;46.0;66.0;112.0;0,02%
Finlandia;Unione Europea;22.0;80.0;102.0;0,02%
Estonia;Unione Europea;15.0;75.0;90.0;0,02%
Norvegia;Altri paesi europei;14.0;26.0;40.0;0,01%
Lussemburgo;Unione Europea;8.0;16.0;24.0;0,00%
Malta;Unione Europea;12.0;12.0;24.0;0,00%
Cipro;Unione Europea;6.0;16.0;22.0;0,00%
San Marino;Altri paesi europei;11.0;6.0;17.0;0,00%
Islanda;Altri paesi europei;3.0;2.0;5.0;0,00%
Andorra;Altri paesi europei;1.0;0.0;1.0;0,00%
Repubblica Popolare Cinese;Asia orientale;18.333;18.058;36.391;7,31%
Bangladesh;Asia centro meridionale;12.658;7.232;19.89;3,99%
India;Asia centro meridionale;10.527;7.592;18.119;3,64%
Sri Lanka (ex Ceylon);Asia centro meridionale;7.683;7.106;14.789;2,97%
Pakistan;Asia centro meridionale;5.546;1.873;7.419;1,49%
Filippine;Asia orientale;2.816;3.57;6.386;1,28%
Repubblica Islamica dell'Iran;Asia occidentale;563.0;578.0;1.141;0,23%
Afghanistan;Asia centro meridionale;748.0;194.0;942.0;0,19%
Georgia;Asia occidentale;142.0;615.0;757.0;0,15%
Thailandia;Asia orientale;58.0;513.0;571.0;0,11%
Giappone;Asia orientale;85.0;373.0;458.0;0,09%
Siria;Asia occidentale;226.0;163.0;389.0;0,08%
Libano;Asia occidentale;164.0;106.0;270.0;0,05%
Repubblica di Corea (Corea del Sud);Asia orientale;115.0;143.0;258.0;0,05%
Iraq;Asia occidentale;190.0;63.0;253.0;0,05%
Vietnam;Asia orientale;61.0;145.0;206.0;0,04%
Nepal;Asia centro meridionale;97.0;85.0;182.0;0,04%
Israele;Asia occidentale;91.0;67.0;158.0;0,03%
Indonesia;Asia orientale;22.0;120.0;142.0;0,03%
Giordania;Asia occidentale;75.0;42.0;117.0;0,02%
Kazakhstan;Asia centro meridionale;14.0;94.0;108.0;0,02%
Territori dell'Autonomia Palestinese;Asia occidentale;54.0;30.0;84.0;0,02%
Armenia;Asia occidentale;23.0;32.0;55.0;0,01%
Taiwan;Asia orientale;12.0;39.0;51.0;0,01%
Azerbaigian;Asia occidentale;18.0;28.0;46.0;0,01%
Yemen;Asia occidentale;23.0;20.0;43.0;0,01%
Uzbekistan;Asia centro meridionale;12.0;30.0;42.0;0,01%
Malaysia;Asia orientale;24.0;11.0;35.0;0,01%
Kirghizistan;Asia centro meridionale;9.0;26.0;35.0;0,01%
Mongolia;Asia orientale;10.0;17.0;27.0;0,01%
Myanmar (ex Birmania);Asia orientale;4.0;18.0;22.0;0,00%
Singapore;Asia orientale;3.0;14.0;17.0;0,00%
Cambogia;Asia orientale;4.0;11.0;15.0;0,00%
Arabia Saudita;Asia occidentale;11.0;3.0;14.0;0,00%
Laos;Asia orientale;3.0;6.0;9.0;0,00%
Tagikistan;Asia centro meridionale;3.0;3.0;6.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;1.0;4.0;5.0;0,00%
Bhutan;Asia centro meridionale;1.0;2.0;3.0;0,00%
Maldive;Asia centro meridionale;2.0;0.0;2.0;0,00%
Bahrein;Asia occidentale;1.0;0.0;1.0;0,00%
Emirati Arabi Uniti;Asia occidentale;0.0;1.0;1.0;0,00%
Timor Est;Asia orientale;1.0;0.0;1.0;0,00%
Turkmenistan;Asia centro meridionale;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;24.515;21.407;45.922;9,22%
Nigeria;Africa occidentale;8.358;6.362;14.72;2,96%
Senegal;Africa occidentale;5.985;2.613;8.598;1,73%
Ghana;Africa occidentale;4.967;2.896;7.863;1,58%
Tunisia;Africa settentrionale;3.083;2.018;5.101;1,02%
Burkina Faso (ex Alto Volta);Africa occidentale;1.565;949.0;2.514;0,50%
Costa d'Avorio;Africa occidentale;1.447;834.0;2.281;0,46%
Egitto;Africa settentrionale;1.351;694.0;2.045;0,41%
Camerun;Africa centro meridionale;911.0;794.0;1.705;0,34%
Algeria;Africa settentrionale;939.0;728.0;1.667;0,33%
Gambia;Africa occidentale;1.172;97.0;1.269;0,25%
Mali;Africa occidentale;1.14;106.0;1.246;0,25%
Guinea;Africa occidentale;783.0;226.0;1.009;0,20%
Togo;Africa occidentale;515.0;291.0;806.0;0,16%
Guinea Bissau;Africa occidentale;216.0;98.0;314.0;0,06%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;116.0;125.0;241.0;0,05%
Eritrea;Africa orientale;112.0;110.0;222.0;0,04%
Benin (ex Dahomey);Africa occidentale;149.0;71.0;220.0;0,04%
Etiopia;Africa orientale;88.0;127.0;215.0;0,04%
Kenya;Africa orientale;68.0;125.0;193.0;0,04%
Somalia;Africa orientale;148.0;31.0;179.0;0,04%
Repubblica del Congo;Africa centro meridionale;87.0;78.0;165.0;0,03%
Niger;Africa occidentale;110.0;41.0;151.0;0,03%
Sierra Leone;Africa occidentale;123.0;20.0;143.0;0,03%
Sudan;Africa settentrionale;81.0;24.0;105.0;0,02%
Liberia;Africa occidentale;82.0;22.0;104.0;0,02%
Libia;Africa settentrionale;56.0;36.0;92.0;0,02%
Mauritania;Africa occidentale;69.0;16.0;85.0;0,02%
Angola;Africa centro meridionale;31.0;46.0;77.0;0,02%
Mauritius;Africa orientale;32.0;45.0;77.0;0,02%
Madagascar;Africa orientale;18.0;46.0;64.0;0,01%
Sud Africa;Africa centro meridionale;26.0;34.0;60.0;0,01%
Burundi;Africa orientale;13.0;39.0;52.0;0,01%
Tanzania;Africa orientale;19.0;33.0;52.0;0,01%
Capo Verde;Africa occidentale;19.0;24.0;43.0;0,01%
Ciad;Africa centro meridionale;26.0;16.0;42.0;0,01%
