Paese; Area ; Maschi ; Femmine ; Totale ; %
Romania ; Unione Europea ; 465.632 ; 616.204 ; 1.081.836 ; 21,04%
Albania ; Europa centro orientale ; 213.047 ; 203.782 ; 416.829 ; 8,11%
Ucraina ; Europa centro orientale ; 57.263 ; 192.350 ; 249.613 ; 4,86%
Moldova ; Europa centro orientale ; 36.778 ; 73.026 ; 109.804 ; 2,14%
Polonia ; Unione Europea ; 18.756 ; 55.631 ; 74.387 ; 1,45%
Macedonia del Nord ; Europa centro orientale ; 26.307 ; 24.783 ; 51.090 ; 0,99%
Bulgaria ; Unione Europea ; 18.510 ; 31.008 ; 49.518 ; 0,96%
Federazione Russa ; Europa centro orientale ; 7.673 ; 32.032 ; 39.705 ; 0,77%
Kosovo ; Europa centro orientale ; 20.165 ; 16.207 ; 36.372 ; 0,71%
Germania ; Unione Europea ; 13.032 ; 20.971 ; 34.003 ; 0,66%
Repubblica di Serbia ; Europa centro orientale ; 14.918 ; 15.917 ; 30.835 ; 0,60%
Francia ; Unione Europea ; 12.050 ; 17.892 ; 29.942 ; 0,58%
Spagna ; Unione Europea ; 9.539 ; 18.315 ; 27.854 ; 0,54%
Regno Unito ; Unione Europea ; 13.308 ; 14.450 ; 27.758 ; 0,54%
Bosnia-Erzegovina ; Europa centro orientale ; 10.701 ; 9.753 ; 20.454 ; 0,40%
Turchia ; Europa centro orientale ; 11.587 ; 8.493 ; 20.080 ; 0,39%
Croazia ; Unione Europea ; 7.580 ; 7.934 ; 15.514 ; 0,30%
Bielorussia ; Europa centro orientale ; 1.851 ; 7.397 ; 9.248 ; 0,18%
Paesi Bassi ; Unione Europea ; 3.995 ; 4.825 ; 8.820 ; 0,17%
Slovacchia ; Unione Europea ; 1.930 ; 6.051 ; 7.981 ; 0,16%
Ungheria ; Unione Europea ; 2.063 ; 5.713 ; 7.776 ; 0,15%
Svizzera ; Altri paesi europei ; 3.244 ; 4.465 ; 7.709 ; 0,15%
Grecia ; Unione Europea ; 3.506 ; 3.800 ; 7.306 ; 0,14%
Portogallo ; Unione Europea ; 3.222 ; 3.842 ; 7.064 ; 0,14%
Austria ; Unione Europea ; 1.940 ; 4.312 ; 6.252 ; 0,12%
Belgio ; Unione Europea ; 2.649 ; 3.369 ; 6.018 ; 0,12%
Repubblica Ceca ; Unione Europea ; 927 ; 4.382 ; 5.309 ; 0,10%
Lituania ; Unione Europea ; 1.014 ; 4.167 ; 5.181 ; 0,10%
Irlanda ; Unione Europea ; 1.790 ; 1.867 ; 3.657 ; 0,07%
Slovenia ; Unione Europea ; 1.669 ; 1.571 ; 3.240 ; 0,06%
Svezia ; Unione Europea ; 1.092 ; 2.066 ; 3.158 ; 0,06%
Lettonia ; Unione Europea ; 528 ; 2.268 ; 2.796 ; 0,05%
Montenegro ; Europa centro orientale ; 923 ; 1.067 ; 1.990 ; 0,04%
Danimarca ; Unione Europea ; 796 ; 1.148 ; 1.944 ; 0,04%
Finlandia ; Unione Europea ; 378 ; 1.224 ; 1.602 ; 0,03%
San Marino ; Altri paesi europei ; 735 ; 500 ; 1.235 ; 0,02%
Estonia ; Unione Europea ; 213 ; 995 ; 1.208 ; 0,02%
Norvegia ; Altri paesi europei ; 482 ; 595 ; 1.077 ; 0,02%
Malta ; Unione Europea ; 329 ; 474 ; 803 ; 0,02%
Cipro ; Unione Europea ; 150 ; 194 ; 344 ; 0,01%
Lussemburgo ; Unione Europea ; 130 ; 139 ; 269 ; 0,01%
Islanda ; Altri paesi europei ; 62 ; 87 ; 149 ; 0,00%
